timestamp,close,high,low,trade_count,open,volume,vwap
2023-01-04 13:00:00+00:00,317.0301,317.0301,317.0301,14,317.0301,126,317.0301
2023-01-04 13:30:00+00:00,317.62,317.62,317.62,34,317.62,1865,317.62
2023-01-04 13:45:00+00:00,317.8,318.0,317.8,32,317.9,1647,317.831743
2023-01-04 14:00:00+00:00,318.73,318.73,318.73,3,318.73,207,318.73
2023-01-04 14:15:00+00:00,320.05,320.05,318.22,93,318.64,3030,318.990128
2023-01-04 14:30:00+00:00,318.95,321.07,318.65,3631,321.07,160223,320.300416
2023-01-04 14:45:00+00:00,319.31,319.55,318.065,1847,318.95,152359,318.849292
2023-01-04 15:00:00+00:00,317.0296,319.985,316.5,2492,319.2,82376,317.864319
2023-01-04 15:15:00+00:00,317.44,317.61,316.3753,1337,316.79,38638,317.037038
2023-01-04 15:30:00+00:00,318.23,318.23,316.89,1543,317.455,41035,317.336831
2023-01-04 15:45:00+00:00,319.53,319.54,318.07,1779,318.11,59448,318.910594
2023-01-04 16:00:00+00:00,320.86,320.96,319.43,1969,319.56,75986,320.195316
2023-01-04 16:15:00+00:00,320.56,321.28,319.88,2492,320.91,91941,320.782537
2023-01-04 16:30:00+00:00,321.425,322.0648,320.75,2730,320.75,141713,321.505801
2023-01-04 16:45:00+00:00,321.64,321.84,321.09,2169,321.425,92546,321.456031
2023-01-04 17:00:00+00:00,321.79,321.96,321.31,1667,321.71,47021,321.756517
2023-01-04 17:15:00+00:00,321.77,322.11,321.67,1834,321.805,75017,321.926488
2023-01-04 17:30:00+00:00,322.09,322.1904,321.75,1462,321.81,36628,321.960718
2023-01-04 17:45:00+00:00,321.03,322.1284,320.9701,1525,322.1284,48521,321.561074
2023-01-04 18:00:00+00:00,321.35,321.4,320.4501,1423,321.08,43547,320.948486
2023-01-04 18:15:00+00:00,321.7,321.97,321.306,1417,321.31,43116,321.77944
2023-01-04 18:30:00+00:00,322.05,322.51,321.75,2251,321.76,109657,322.120632
2023-01-04 18:45:00+00:00,321.0,322.055,320.85,1752,322.01,66240,321.499445
2023-01-04 19:00:00+00:00,320.345,322.37,319.96,3286,320.81,109210,320.668139
2023-01-04 19:15:00+00:00,318.65,321.3577,318.3622,2122,320.34,76944,319.574177
