DATE TIME,AGP
2015-09-15,48.0
2015-09-16,50.0
2015-09-17,63.0
2015-09-18,70.0
2015-09-19,71.0
2015-09-20,74.0
2015-09-21,73.0
2015-09-22,69.0
2015-09-23,72.0
2015-09-24,70.0
2015-09-25,68.0
2015-09-26,68.0
2015-09-27,68.0
2015-09-28,62.0
2015-09-29,61.0
2015-09-30,61.0
2015-10-01,51.0
2015-10-02,53.0
2015-10-03,57.0
2015-10-04,37.0
2015-10-05,42.0
2015-10-06,54.0
2015-10-07,63.0
2015-10-08,71.0
2015-10-09,76.0
2015-10-10,69.0
2015-10-11,72.0
2015-10-12,72.0
2015-10-13,69.0
2015-10-14,64.0
2015-10-15,53.0
2015-10-16,51.0
2015-10-17,42.0
2015-10-18,42.0
2015-10-19,43.0
2015-10-20,38.0
2015-10-21,44.0
2015-10-22,51.0
2015-10-23,59.0
2015-10-24,58.0
2015-10-25,52.0
2015-10-26,60.0
2015-10-27,53.0
2015-10-28,48.0
2015-10-29,38.0
2015-10-30,51.0
2015-10-31,62.0
2015-11-01,55.0
2015-11-02,34.0
2015-11-03,33.0
2015-11-04,23.0
2015-11-05,44.0
2015-11-06,48.0
2015-11-07,56.0
2015-11-08,42.0
2015-11-09,26.0
2015-11-10,28.0
2015-11-11,49.0
2015-11-12,50.0
2015-11-13,57.0
2015-11-14,53.0
2015-11-15,30.0
2015-11-16,25.0
2015-11-17,46.0
2015-11-18,49.0
2015-11-19,59.0
2015-11-20,57.0
2015-11-21,56.0
2015-11-22,58.0
2015-11-23,42.0
2015-11-24,34.0
2015-11-25,21.0
2015-11-26,17.0
2015-11-27,18.0
2015-11-28,25.0
2015-11-29,39.0
2015-11-30,46.0
2015-12-01,49.0
2015-12-02,48.0
2015-12-03,40.0
2015-12-04,39.0
2015-12-05,47.0
2015-12-06,47.0
2015-12-07,48.0
2015-12-08,52.0
2015-12-09,50.0
2015-12-10,37.0
2015-12-11,28.0
2015-12-12,38.0
2015-12-13,33.0
2015-12-14,18.0
2015-12-15,22.0
2015-12-16,41.0
2015-12-17,44.0
2015-12-18,41.0
2015-12-19,29.0
2015-12-20,28.0
2015-12-21,35.0
2015-12-22,37.0
2015-12-23,32.0
2015-12-24,17.0
2015-12-25,23.0
2015-12-26,29.0
2015-12-27,42.0
2015-12-28,30.0
2015-12-29,34.0
2015-12-30,35.0
2015-12-31,36.0
2016-01-01,27.0
2016-01-02,39.0
2016-01-03,42.0
2016-01-04,38.0
2016-01-05,27.0
2016-01-06,21.0
2016-01-07,27.0
2016-01-08,38.0
2016-01-09,33.0
2016-01-10,35.0
2016-01-11,38.0
2016-01-12,51.0
2016-01-13,31.0
2016-01-14,35.0
2016-01-15,39.0
2016-01-16,39.0
2016-01-17,40.0
2016-01-18,41.0
2016-01-19,34.0
2016-01-20,47.0
2016-01-21,52.0
2016-01-22,33.0
2016-01-23,34.0
2016-01-24,37.0
2016-01-25,38.0
2016-01-26,60.0
2016-01-27,55.0
2016-01-28,55.0
2016-01-29,44.0
2016-01-30,31.0
2016-01-31,28.0
2016-02-01,20.0
2016-02-02,29.0
2016-02-03,42.0
2016-02-04,39.0
2016-02-05,47.0
2016-02-06,53.0
2016-02-07,47.0
2016-02-08,49.0
2016-02-09,62.0
2016-02-10,59.0
2016-02-11,59.0
2016-02-12,58.0
2016-02-13,50.0
2016-02-14,44.0
2016-02-15,49.0
2016-02-16,60.0
2016-02-17,43.0
2016-02-18,34.0
2016-02-19,45.0
2016-02-20,52.0
2016-02-21,56.0
2016-02-22,44.0
2016-02-23,57.0
2016-02-24,57.0
2016-02-25,61.0
2016-02-26,56.0
2016-02-27,55.0
2016-02-28,51.0
2016-02-29,57.0
2016-03-01,52.0
2016-03-02,58.0
2016-03-03,54.0
2016-03-04,49.0
2016-03-05,40.0
2016-03-06,33.0
2016-03-07,33.0
2016-03-08,45.0
2016-03-09,54.0
2016-03-10,48.0
2016-03-11,33.0
2016-03-12,41.0
2016-03-13,37.0
2016-03-14,43.0
2016-03-15,52.0
2016-03-16,57.0
2016-03-17,60.0
2016-03-18,60.0
2016-03-19,57.0
2016-03-20,50.0
2016-03-21,37.0
2016-03-22,34.0
2016-03-23,51.0
2016-03-24,52.0
2016-03-25,53.0
2016-03-26,57.0
2016-03-27,49.0
2016-03-28,30.0
2016-03-29,36.0
2016-03-30,28.0
2016-03-31,47.0
2016-04-01,61.0
2016-04-02,56.0
2016-04-03,56.0
2016-04-04,54.0
2016-04-05,61.0
2016-04-06,63.0
2016-04-07,54.0
2016-04-08,53.0
2016-04-09,37.0
2016-04-10,47.0
2016-04-11,51.0
2016-04-12,52.0
2016-04-13,46.0
2016-04-14,42.0
2016-04-15,33.0
2016-04-16,51.0
2016-04-17,57.0
2016-04-18,61.0
2016-04-19,62.0
2016-04-20,58.0
2016-04-21,55.0
2016-04-22,39.0
2016-04-23,51.0
2016-04-24,44.0
2016-04-25,31.0
2016-04-26,52.0
2016-04-27,42.0
2016-04-28,34.0
2016-04-29,50.0
2016-04-30,34.0
2016-05-01,45.0
2016-05-02,57.0
2016-05-03,60.0
2016-05-04,54.0
2016-05-05,48.0
2016-05-06,44.0
2016-05-07,40.0
2016-05-08,47.0
2016-05-09,62.0
2016-05-10,63.0
2016-05-11,62.0
2016-05-12,66.0
2016-05-13,66.0
2016-05-14,55.0
2016-05-15,55.0
2016-05-16,56.0
2016-05-17,51.0
2016-05-18,61.0
2016-05-19,53.0
2016-05-20,38.0
2016-05-21,33.0
2016-05-22,48.0
2016-05-23,46.0
2016-05-24,44.0
2016-05-25,44.0
2016-05-26,49.0
2016-05-27,56.0
2016-05-28,55.0
2016-05-29,57.0
2016-05-30,66.0
2016-05-31,68.0
2016-06-01,69.0
2016-06-02,69.0
2016-06-03,73.0
2016-06-04,74.0
2016-06-05,68.0
2016-06-06,69.0
2016-06-07,71.0
2016-06-08,70.0
2016-06-09,64.0
2016-06-10,59.0
2016-06-11,61.0
2016-06-12,46.0
2016-06-13,59.0
2016-06-14,53.0
2016-06-15,46.0
2016-06-16,54.0
2016-06-17,57.0
2016-06-18,61.0
2016-06-19,68.0
2016-06-20,74.0
2016-06-21,75.0
2016-06-22,73.0
2016-06-23,70.0
2016-06-24,72.0
2016-06-25,74.0
2016-06-26,74.0
2016-06-27,77.0
2016-06-28,71.0
2016-06-29,73.0
2016-06-30,74.0
2016-07-01,70.0
2016-07-02,69.0
2016-07-03,71.0
2016-07-04,71.0
2016-07-05,68.0
2016-07-06,66.0
2016-07-07,69.0
2016-07-08,69.0
2016-07-09,64.0
2016-07-10,65.0
2016-07-11,68.0
2016-07-12,70.0
2016-07-13,76.0
2016-07-14,77.0
2016-07-15,76.0
2016-07-16,71.0
2016-07-17,68.0
2016-07-18,67.0
2016-07-19,69.0
2016-07-20,71.0
2016-07-21,72.0
2016-07-22,76.0
2016-07-23,78.0
2016-07-24,75.0
2016-07-25,76.0
2016-07-26,79.0
2016-07-27,79.0
2016-07-28,80.0
2016-07-29,79.0
2016-07-30,76.0
2016-07-31,74.0
2016-08-01,76.0
2016-08-02,76.0
2016-08-03,79.0
2016-08-04,73.0
2016-08-05,67.0
2016-08-06,70.0
2016-08-07,70.0
2016-08-08,69.0
2016-08-09,67.0
2016-08-10,68.0
2016-08-11,73.0
2016-08-12,77.0
2016-08-13,77.0
2016-08-14,73.0
2016-08-15,74.0
2016-08-16,76.0
2016-08-17,73.0
2016-08-18,72.0
2016-08-19,69.0
2016-08-20,75.0
2016-08-21,66.0
2016-08-22,62.0
2016-08-23,66.0
2016-08-24,71.0
2016-08-25,72.0
2016-08-26,69.0
2016-08-27,72.0
2016-08-28,73.0
2016-08-29,75.0
2016-08-30,72.0
2016-08-31,67.0
2016-09-01,67.0
2016-09-02,68.0
2016-09-03,59.0
2016-09-04,59.0
2016-09-05,66.0
2016-09-06,70.0
2016-09-07,75.0
2016-09-08,75.0
2016-09-09,75.0
2016-09-10,68.0
2016-09-11,65.0
2016-09-12,58.0
2016-09-13,44.0
2016-09-14,61.0
2016-09-15,66.0
2016-09-16,65.0
2016-09-17,70.0
2016-09-18,75.0
2016-09-19,73.0
2016-09-20,69.0
2016-09-21,52.0
2016-09-22,44.0
2016-09-23,56.0
2016-09-24,64.0
