VWAP Window,MFI Period,Regime Window,ATR Period,Min Stop Dollars,Max Stop Dollars,Risk Per Trade,Max Hold Hours,regime_params,total_pnl,sharpe_ratio,win_rate,max_drawdown,total_trades,avg_trade_pnl,signal_quality,regime_contribution
45,9,20,3,0.5,2.0,0.01,24,"{'bear_high_vol': {'position_scale': 1.75, 'reward_risk': 2.5, 'stop_mult': 1.2, 'mfi_overbought': 60, 'trailing_stop': True}, 'bull_high_vol': {'position_scale': 1.0, 'reward_risk': 2.0, 'stop_mult': 1.2, 'mfi_overbought': 70, 'trailing_stop': True}, 'bear_med_vol': {'position_scale': 0.0, 'reward_risk': 2.0, 'stop_mult': 1.2}, 'bull_med_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bull_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bear_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}}",84601.77099999954,1.1215962918845954,0.5673076923076923,-0.10715242675917994,104,813.4785673076879,0.7523145038461521,"{'bear_high_vol': {'trades': 54, 'win_rate': 0.5370370370370371, 'avg_pnl': 1373.4682277777708, 'total_pnl': 74167.28429999962, 'contribution': 0.8766634956140578}, 'bull_high_vol': {'trades': 50, 'win_rate': 0.6, 'avg_pnl': 208.6897339999984, 'total_pnl': 10434.48669999992, 'contribution': 0.12333650438594218}}"
40,9,20,3,0.5,2.0,0.01,24,"{'bear_high_vol': {'position_scale': 1.75, 'reward_risk': 2.5, 'stop_mult': 1.2, 'mfi_overbought': 60, 'trailing_stop': True}, 'bull_high_vol': {'position_scale': 1.0, 'reward_risk': 2.0, 'stop_mult': 1.2, 'mfi_overbought': 70, 'trailing_stop': True}, 'bear_med_vol': {'position_scale': 0.0, 'reward_risk': 2.0, 'stop_mult': 1.2}, 'bull_med_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bull_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bear_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}}",81903.62299999957,1.0802369232473024,0.5514018691588785,-0.11332209306979303,107,765.4544205607436,0.7267425158878489,"{'bear_high_vol': {'trades': 56, 'win_rate': 0.5535714285714286, 'avg_pnl': 1365.2648089285644, 'total_pnl': 76454.8292999996, 'contribution': 0.9334731053350351}, 'bull_high_vol': {'trades': 51, 'win_rate': 0.5490196078431373, 'avg_pnl': 106.83909215686184, 'total_pnl': 5448.793699999954, 'contribution': 0.06652689466496473}}"
35,9,20,3,0.5,2.0,0.01,24,"{'bear_high_vol': {'position_scale': 1.75, 'reward_risk': 2.5, 'stop_mult': 1.2, 'mfi_overbought': 60, 'trailing_stop': True}, 'bull_high_vol': {'position_scale': 1.0, 'reward_risk': 2.0, 'stop_mult': 1.2, 'mfi_overbought': 70, 'trailing_stop': True}, 'bear_med_vol': {'position_scale': 0.0, 'reward_risk': 2.0, 'stop_mult': 1.2}, 'bull_med_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bull_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bear_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}}",67964.52749999965,1.042179834906614,0.5454545454545454,-0.11763622394760449,110,617.8593409090877,0.6653255545454533,"{'bear_high_vol': {'trades': 56, 'win_rate': 0.5535714285714286, 'avg_pnl': 1129.6965946428506, 'total_pnl': 63263.009299999634, 'contribution': 0.9308239404739475}, 'bull_high_vol': {'trades': 54, 'win_rate': 0.5370370370370371, 'avg_pnl': 87.06515185185228, 'total_pnl': 4701.518200000023, 'contribution': 0.06917605952605273}}"
