,params,total_trades,sharpe,sortino,win_rate,profit_factor,max_drawdown,avg_trade,avg_dte,avg_hold_time,regime_metrics
28,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 10, 'max_dte': 21, 'strike_distance': 0.25, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
29,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 10, 'max_dte': 21, 'strike_distance': 0.5, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
30,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 10, 'max_dte': 21, 'strike_distance': 0.75, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
31,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 10, 'max_dte': 21, 'strike_distance': 1.0, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
32,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 10, 'max_dte': 28, 'strike_distance': 0.25, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
33,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 10, 'max_dte': 28, 'strike_distance': 0.5, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
34,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 10, 'max_dte': 28, 'strike_distance': 0.75, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
19,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 7, 'max_dte': 21, 'strike_distance': 1.0, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
18,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 7, 'max_dte': 21, 'strike_distance': 0.75, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
17,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 7, 'max_dte': 21, 'strike_distance': 0.5, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
8,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 5, 'max_dte': 28, 'strike_distance': 0.25, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
2,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 5, 'max_dte': 14, 'strike_distance': 0.75, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
3,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 5, 'max_dte': 14, 'strike_distance': 1.0, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
4,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 5, 'max_dte': 21, 'strike_distance': 0.25, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
5,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 5, 'max_dte': 21, 'strike_distance': 0.5, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
6,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 5, 'max_dte': 21, 'strike_distance': 0.75, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
7,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 5, 'max_dte': 21, 'strike_distance': 1.0, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
9,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 5, 'max_dte': 28, 'strike_distance': 0.5, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
16,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 7, 'max_dte': 21, 'strike_distance': 0.25, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
10,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 5, 'max_dte': 28, 'strike_distance': 0.75, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
11,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 5, 'max_dte': 28, 'strike_distance': 1.0, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
12,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 7, 'max_dte': 14, 'strike_distance': 0.25, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
13,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 7, 'max_dte': 14, 'strike_distance': 0.5, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
14,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 7, 'max_dte': 14, 'strike_distance': 0.75, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
15,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 7, 'max_dte': 14, 'strike_distance': 1.0, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
35,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 10, 'max_dte': 28, 'strike_distance': 1.0, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
