,params,total_trades,combined_win_rate,combined_sharpe,combined_pnl,avg_win_rate,avg_sharpe,avg_pnl
161,"{'vwap_length': 50, 'mfi_length': 11, 'mfi_oversold': 30, 'mfi_overbought': 80, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 32, 'profit_target': 0.02, 'stop_loss': 0.02}",11597,0.5911917098445596,0.5972786892289746,10314498.290064603,0.5930921854517268,0.13089379798552106,239872.05325731635
89,"{'vwap_length': 50, 'mfi_length': 7, 'mfi_oversold': 20, 'mfi_overbought': 80, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 32, 'profit_target': 0.02, 'stop_loss': 0.02}",12322,0.5949943117178612,0.59609350017778,9826590.641021699,0.5942113014855233,0.16627598918249537,228525.36374469064
238,"{'vwap_length': 60, 'mfi_length': 11, 'mfi_oversold': 30, 'mfi_overbought': 75, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}",11482,0.5756148613291471,0.5910281759482188,9507101.700006958,0.5763474195004176,0.12179762537224845,221095.38837225488
164,"{'vwap_length': 60, 'mfi_length': 7, 'mfi_oversold': 20, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 32, 'profit_target': 0.02, 'stop_loss': 0.02}",12158,0.5960810143257039,0.589694554167155,9142803.527072875,0.5957853177699388,0.17741815634325617,212623.33783890403
17,"{'vwap_length': 40, 'mfi_length': 7, 'mfi_oversold': 25, 'mfi_overbought': 80, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 32, 'profit_target': 0.02, 'stop_loss': 0.02}",14019,0.6024853592343951,0.5873749054693681,10490293.664824504,0.6010908349706201,0.2154867884263518,243960.3177866164
85,"{'vwap_length': 50, 'mfi_length': 7, 'mfi_oversold': 20, 'mfi_overbought': 75, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}",12475,0.5924558587479936,0.5866437667570044,9237475.72336582,0.5915446471776545,0.15526441490411177,214825.01682246092
119,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 25, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 32, 'profit_target': 0.02, 'stop_loss': 0.02}",12075,0.5961857379767828,0.5849428662373672,9335084.020490611,0.596892750246122,0.15206307963418517,217094.97722071194
39,"{'vwap_length': 40, 'mfi_length': 9, 'mfi_oversold': 25, 'mfi_overbought': 75, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 16, 'profit_target': 0.02, 'stop_loss': 0.02}",13214,0.5822094256705561,0.5843325714810482,9217470.523115566,0.5796841533737337,0.25189945530767227,214359.77960733866
169,"{'vwap_length': 60, 'mfi_length': 7, 'mfi_oversold': 20, 'mfi_overbought': 80, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}",12105,0.5897435897435898,0.582218693395152,9467372.140025234,0.5873608119525695,0.1766213424155388,220171.44511686594
40,"{'vwap_length': 40, 'mfi_length': 9, 'mfi_oversold': 25, 'mfi_overbought': 75, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}",12696,0.593217665615142,0.5791992095255949,9594361.253014535,0.5928062216160784,0.20131702515622826,223124.6803026636
