,params,total_trades,sharpe,sortino,win_rate,profit_factor,max_drawdown,avg_trade,avg_hold_time,regime_metrics
0,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'strike_distance': 0.5, 'min_dte': 7, 'max_dte': 14, 'profit_target': 1.0, 'stop_loss': -0.5}",2,-13.003633406728579,-13.003633406728579,0.0,0.0,871.7445042327076,-448.27567682238043,0.0,"{'bear_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -24.80684941205322}, 'none': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -871.7445042327076}}"
1,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'strike_distance': 0.5, 'min_dte': 7, 'max_dte': 21, 'profit_target': 1.0, 'stop_loss': -0.5}",2,-13.003633406728579,-13.003633406728579,0.0,0.0,871.7445042327076,-448.27567682238043,0.0,"{'bear_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -24.80684941205322}, 'none': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -871.7445042327076}}"
2,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'strike_distance': 1.0, 'min_dte': 7, 'max_dte': 14, 'profit_target': 1.0, 'stop_loss': -0.5}",2,-13.003633406728579,-13.003633406728579,0.0,0.0,871.7445042327076,-448.27567682238043,0.0,"{'bear_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -24.80684941205322}, 'none': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -871.7445042327076}}"
3,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'strike_distance': 1.0, 'min_dte': 7, 'max_dte': 21, 'profit_target': 1.0, 'stop_loss': -0.5}",2,-13.003633406728579,-13.003633406728579,0.0,0.0,871.7445042327076,-448.27567682238043,0.0,"{'bear_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -24.80684941205322}, 'none': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -871.7445042327076}}"
