timestamp,total_value
2024-11-15 20:57:00,100000
2024-11-18 15:15:00,100000
2024-11-18 16:06:00,100000
2024-11-18 16:57:00,100000
2024-11-18 17:48:00,100000
2024-11-18 18:39:00,100000
2024-11-18 19:30:00,100000
2024-11-18 20:21:00,100000
2024-11-19 15:03:00,100000
2024-11-19 15:54:00,100000
2024-11-19 16:45:00,100000
2024-11-19 17:36:00,100000
2024-11-19 18:27:00,100000
2024-11-19 19:18:00,100000
2024-11-19 20:09:00,100000
2024-11-20 14:51:00,100000
2024-11-20 15:42:00,100000
2024-11-20 16:33:00,100000
2024-11-20 17:24:00,100000
2024-11-20 18:15:00,100000
2024-11-20 19:06:00,100000
2024-11-20 19:57:00,100000
2024-11-20 20:48:00,100000
2024-11-21 14:39:00,100000
2024-11-21 15:30:00,100000
2024-11-21 16:21:00,100000
2024-11-21 17:12:00,100000
2024-11-21 18:03:00,100000
2024-11-21 18:54:00,100000
2024-11-21 19:45:00,100000
2024-11-21 20:36:00,100000
2024-11-22 15:18:00,100000
2024-11-22 16:09:00,100000
2024-11-22 17:00:00,100000
2024-11-22 17:51:00,100000
2024-11-22 18:42:00,100000
2024-11-22 19:33:00,100000
2024-11-22 20:24:00,100000
2024-11-25 14:42:00,100000
2024-11-25 15:33:00,100000
2024-11-25 16:24:00,100000
2024-11-25 17:15:00,100000
2024-11-25 18:06:00,100000
2024-11-25 18:57:00,100000
2024-11-25 19:48:00,100000
2024-11-25 20:39:00,100000
2024-11-26 14:30:00,100000
2024-11-26 15:21:00,100000
2024-11-26 16:12:00,100000
2024-11-26 17:03:00,100000
2024-11-26 17:54:00,100000
2024-11-26 18:45:00,100000
2024-11-26 19:36:00,100000
2024-11-26 20:27:00,100000
2024-11-27 15:09:00,100000
2024-11-27 16:00:00,100000
2024-11-27 16:51:00,100000
2024-11-27 17:42:00,100000
2024-11-27 18:33:00,100000
2024-11-27 19:24:00,100000
2024-11-27 20:15:00,100000
2024-11-29 14:45:00,100000
2024-11-29 15:36:00,100000
2024-11-29 16:27:00,100000
2024-11-29 17:18:00,100000
