date,total_value
1970-01-01 00:00:00.000000177,
1970-01-01 00:00:00.000000178,
1970-01-01 00:00:00.000000179,
1970-01-01 00:00:00.000000180,
1970-01-01 00:00:00.000000181,
1970-01-01 00:00:00.000000182,
1970-01-01 00:00:00.000000183,
1970-01-01 00:00:00.000000184,
1970-01-01 00:00:00.000000185,
1970-01-01 00:00:00.000000186,
1970-01-01 00:00:00.000000187,
1970-01-01 00:00:00.000000188,
1970-01-01 00:00:00.000000189,
1970-01-01 00:00:00.000000190,
1970-01-01 00:00:00.000000191,
1970-01-01 00:00:00.000000192,
1970-01-01 00:00:00.000000193,
1970-01-01 00:00:00.000000194,
1970-01-01 00:00:00.000000195,
1970-01-01 00:00:00.000000196,
1970-01-01 00:00:00.000000197,
1970-01-01 00:00:00.000000198,
1970-01-01 00:00:00.000000199,
1970-01-01 00:00:00.000000200,
1970-01-01 00:00:00.000000201,
1970-01-01 00:00:00.000000202,
1970-01-01 00:00:00.000000203,
1970-01-01 00:00:00.000000204,
1970-01-01 00:00:00.000000205,
1970-01-01 00:00:00.000000206,
1970-01-01 00:00:00.000000207,
1970-01-01 00:00:00.000000208,
1970-01-01 00:00:00.000000209,
1970-01-01 00:00:00.000000210,
1970-01-01 00:00:00.000000211,
1970-01-01 00:00:00.000000212,
1970-01-01 00:00:00.000000213,
1970-01-01 00:00:00.000000214,
1970-01-01 00:00:00.000000215,
1970-01-01 00:00:00.000000216,
1970-01-01 00:00:00.000000217,
1970-01-01 00:00:00.000000218,
1970-01-01 00:00:00.000000219,
1970-01-01 00:00:00.000000220,
1970-01-01 00:00:00.000000221,
1970-01-01 00:00:00.000000222,
1970-01-01 00:00:00.000000223,
1970-01-01 00:00:00.000000224,
1970-01-01 00:00:00.000000225,
1970-01-01 00:00:00.000000226,
1970-01-01 00:00:00.000000227,
1970-01-01 00:00:00.000000228,
1970-01-01 00:00:00.000000229,
1970-01-01 00:00:00.000000230,
1970-01-01 00:00:00.000000231,
1970-01-01 00:00:00.000000232,
1970-01-01 00:00:00.000000233,
1970-01-01 00:00:00.000000234,
1970-01-01 00:00:00.000000235,
1970-01-01 00:00:00.000000236,
1970-01-01 00:00:00.000000237,
1970-01-01 00:00:00.000000238,
1970-01-01 00:00:00.000000239,
1970-01-01 00:00:00.000000240,
1970-01-01 00:00:00.000000241,
1970-01-01 00:00:00.000000242,
1970-01-01 00:00:00.000000243,
1970-01-01 00:00:00.000000244,
1970-01-01 00:00:00.000000245,
1970-01-01 00:00:00.000000246,
1970-01-01 00:00:00.000000247,
1970-01-01 00:00:00.000000248,
1970-01-01 00:00:00.000000249,
1970-01-01 00:00:00.000000250,
1970-01-01 00:00:00.000000251,
1970-01-01 00:00:00.000000252,
1970-01-01 00:00:00.000000253,
1970-01-01 00:00:00.000000254,
1970-01-01 00:00:00.000000255,
1970-01-01 00:00:00.000000256,
1970-01-01 00:00:00.000000257,
1970-01-01 00:00:00.000000258,
1970-01-01 00:00:00.000000259,
1970-01-01 00:00:00.000000260,
1970-01-01 00:00:00.000000261,
1970-01-01 00:00:00.000000262,
1970-01-01 00:00:00.000000263,
1970-01-01 00:00:00.000000264,
1970-01-01 00:00:00.000000265,
1970-01-01 00:00:00.000000266,
1970-01-01 00:00:00.000000267,
1970-01-01 00:00:00.000000268,
1970-01-01 00:00:00.000000269,
1970-01-01 00:00:00.000000270,
1970-01-01 00:00:00.000000271,
1970-01-01 00:00:00.000000272,
1970-01-01 00:00:00.000000273,
1970-01-01 00:00:00.000000274,
1970-01-01 00:00:00.000000275,
1970-01-01 00:00:00.000000276,
1970-01-01 00:00:00.000000277,
1970-01-01 00:00:00.000000278,
1970-01-01 00:00:00.000000279,
1970-01-01 00:00:00.000000280,
1970-01-01 00:00:00.000000281,
1970-01-01 00:00:00.000000282,
1970-01-01 00:00:00.000000283,
1970-01-01 00:00:00.000000284,
1970-01-01 00:00:00.000000285,
1970-01-01 00:00:00.000000286,
1970-01-01 00:00:00.000000287,
1970-01-01 00:00:00.000000288,
1970-01-01 00:00:00.000000289,
1970-01-01 00:00:00.000000290,
1970-01-01 00:00:00.000000291,
1970-01-01 00:00:00.000000292,
1970-01-01 00:00:00.000000293,
1970-01-01 00:00:00.000000294,
1970-01-01 00:00:00.000000295,
1970-01-01 00:00:00.000000296,
1970-01-01 00:00:00.000000297,
1970-01-01 00:00:00.000000298,
1970-01-01 00:00:00.000000299,
1970-01-01 00:00:00.000000300,
1970-01-01 00:00:00.000000301,
1970-01-01 00:00:00.000000302,
1970-01-01 00:00:00.000000303,
1970-01-01 00:00:00.000000304,
1970-01-01 00:00:00.000000305,
1970-01-01 00:00:00.000000306,
1970-01-01 00:00:00.000000307,
1970-01-01 00:00:00.000000308,
1970-01-01 00:00:00.000000309,
1970-01-01 00:00:00.000000310,
1970-01-01 00:00:00.000000311,
1970-01-01 00:00:00.000000312,
1970-01-01 00:00:00.000000313,
1970-01-01 00:00:00.000000314,
1970-01-01 00:00:00.000000315,
1970-01-01 00:00:00.000000316,
1970-01-01 00:00:00.000000317,
1970-01-01 00:00:00.000000318,
1970-01-01 00:00:00.000000319,
1970-01-01 00:00:00.000000320,
1970-01-01 00:00:00.000000321,
1970-01-01 00:00:00.000000322,
1970-01-01 00:00:00.000000323,
1970-01-01 00:00:00.000000324,
1970-01-01 00:00:00.000000325,
1970-01-01 00:00:00.000000326,
1970-01-01 00:00:00.000000327,
1970-01-01 00:00:00.000000328,
1970-01-01 00:00:00.000000329,
1970-01-01 00:00:00.000000330,
1970-01-01 00:00:00.000000331,
1970-01-01 00:00:00.000000332,
1970-01-01 00:00:00.000000333,
1970-01-01 00:00:00.000000334,
1970-01-01 00:00:00.000000335,
1970-01-01 00:00:00.000000336,
1970-01-01 00:00:00.000000337,
1970-01-01 00:00:00.000000338,
1970-01-01 00:00:00.000000339,
1970-01-01 00:00:00.000000340,
1970-01-01 00:00:00.000000341,
1970-01-01 00:00:00.000000342,
1970-01-01 00:00:00.000000343,
1970-01-01 00:00:00.000000344,
1970-01-01 00:00:00.000000345,
1970-01-01 00:00:00.000000346,
1970-01-01 00:00:00.000000347,
1970-01-01 00:00:00.000000348,
1970-01-01 00:00:00.000000349,
1970-01-01 00:00:00.000000350,
1970-01-01 00:00:00.000000351,
1970-01-01 00:00:00.000000352,
1970-01-01 00:00:00.000000353,
1970-01-01 00:00:00.000000354,
1970-01-01 00:00:00.000000355,
1970-01-01 00:00:00.000000356,
1970-01-01 00:00:00.000000357,
1970-01-01 00:00:00.000000358,
1970-01-01 00:00:00.000000359,
1970-01-01 00:00:00.000000360,
1970-01-01 00:00:00.000000361,
1970-01-01 00:00:00.000000362,
1970-01-01 00:00:00.000000363,
1970-01-01 00:00:00.000000364,
1970-01-01 00:00:00.000000365,
1970-01-01 00:00:00.000000366,
1970-01-01 00:00:00.000000367,
1970-01-01 00:00:00.000000368,
1970-01-01 00:00:00.000000369,
1970-01-01 00:00:00.000000370,
