,timestamp,action,price,size,regime,pnl,exit_reason
0,2023-01-18 22:00:00,BUY,134.86,0.25,bear_high_vol,,
1,2023-01-19 14:00:00,SELL,135.06,,bear_high_vol,4999.999999999716,signal
2,2023-01-20 14:00:00,BUY,134.6012,0.25,bull_high_vol,,
3,2023-01-20 17:00:00,SELL,135.77,,bull_high_vol,29220.000000000113,signal
4,2023-01-30 17:00:00,BUY,143.415,0.25,bear_high_vol,,
5,2023-01-31 13:00:00,SELL,143.26,,none,-3875.000000000028,signal
6,2023-02-08 14:00:00,BUY,153.45,0.25,bull_high_vol,,
7,2023-02-09 09:00:00,SELL,153.69,,none,6000.000000000227,signal
8,2023-02-14 15:00:00,BUY,151.87,0.25,bull_high_vol,,
9,2023-02-14 17:00:00,SELL,152.105,,bull_high_vol,5874.999999999631,signal
10,2023-02-17 10:00:00,BUY,152.02,0.25,bear_high_vol,,
11,2023-02-21 09:00:00,SELL,151.1,,none,-23000.000000000397,time_exit
12,2023-02-24 13:00:00,BUY,146.99,0.25,bear_high_vol,,
13,2023-02-27 09:00:00,SELL,146.85,,none,-3500.0000000003693,time_exit
14,2023-02-28 21:00:00,BUY,147.13,0.25,bear_high_vol,,
15,2023-03-01 09:00:00,SELL,148.17,,bull_high_vol,25999.9999999998,signal
16,2023-03-01 13:00:00,BUY,147.05,0.25,bear_high_vol,,
17,2023-03-02 09:00:00,SELL,143.88,,none,-79250.0000000004,stop_loss
18,2023-03-09 23:00:00,BUY,150.4,0.25,bear_high_vol,,
19,2023-03-13 08:00:00,SELL,149.16,,none,-31000.000000000226,time_exit
20,2023-03-27 19:00:00,BUY,158.3,0.25,bear_high_vol,,
21,2023-03-28 19:00:00,SELL,157.67,,none,-15750.000000000597,time_exit
22,2023-04-05 14:00:00,BUY,163.29,0.25,bear_high_vol,,
23,2023-04-06 08:00:00,SELL,162.74,,bear_high_vol,-13749.999999999574,signal
24,2023-04-10 13:00:00,BUY,160.4712,0.25,bear_high_vol,,
25,2023-04-10 22:00:00,SELL,162.01,,none,38469.99999999951,signal
26,2023-04-12 14:00:00,BUY,160.66,0.25,bear_high_vol,,
27,2023-04-13 12:00:00,SELL,161.45,,bull_high_vol,19749.9999999998,signal
28,2023-04-25 16:00:00,BUY,164.62,0.25,bear_high_vol,,
29,2023-04-26 15:00:00,SELL,164.86,,bull_high_vol,6000.000000000227,signal
30,2023-05-02 15:00:00,BUY,167.63,0.25,bear_high_vol,,
31,2023-05-02 18:00:00,SELL,169.03,,bear_high_vol,35000.000000000146,signal
32,2023-05-03 20:00:00,BUY,165.66,0.25,bear_high_vol,,
33,2023-05-04 17:00:00,SELL,166.37,,none,17750.0000000002,signal
34,2023-05-11 13:00:00,BUY,172.27,0.25,bull_high_vol,,
35,2023-05-11 14:00:00,SELL,173.23,,bull_high_vol,23999.999999999487,signal
36,2023-05-15 17:00:00,BUY,171.865,0.25,bear_high_vol,,
37,2023-05-16 13:00:00,SELL,172.62,,none,18874.999999999887,signal
38,2023-05-17 13:00:00,BUY,170.5299,0.25,bear_high_vol,,
39,2023-05-17 17:00:00,SELL,172.8286,,bull_high_vol,57467.49999999991,signal
40,2023-05-22 09:00:00,BUY,173.31,0.25,bear_high_vol,,
41,2023-05-22 13:00:00,SELL,174.0199,,bear_high_vol,17747.500000000116,signal
42,2023-05-23 08:00:00,BUY,174.2,0.25,bear_high_vol,,
43,2023-05-24 08:00:00,SELL,171.32,,none,-71999.99999999988,time_exit
44,2023-06-05 23:00:00,BUY,179.12,0.25,bear_high_vol,,
45,2023-06-06 23:00:00,SELL,179.0,,none,-3000.0000000001137,time_exit
46,2023-07-05 08:00:00,BUY,191.5,0.25,bear_high_vol,,
47,2023-07-05 11:00:00,SELL,191.27,,none,-5749.999999999744,signal
48,2023-07-10 09:00:00,BUY,189.19,0.25,bear_high_vol,,
49,2023-07-11 08:00:00,SELL,188.61,,none,-14499.999999999602,signal
50,2023-07-27 18:00:00,BUY,192.96,0.25,bear_high_vol,,
51,2023-07-28 08:00:00,SELL,194.67,,bull_high_vol,42749.99999999949,signal
52,2023-08-02 08:00:00,BUY,193.49,0.25,bear_high_vol,,
53,2023-08-03 08:00:00,SELL,191.48,,bear_high_vol,-50250.00000000048,time_exit
54,2023-08-03 10:00:00,BUY,191.7,0.25,bear_high_vol,,
55,2023-08-03 21:00:00,SELL,187.0,,bear_high_vol,-117499.99999999971,stop_loss
56,2023-08-04 09:00:00,BUY,187.51,0.25,bear_high_vol,,
57,2023-08-04 18:00:00,SELL,182.35,,bear_high_vol,-128999.99999999991,stop_loss
58,2023-08-04 19:00:00,BUY,181.99,0.25,bear_high_vol,,
59,2023-08-07 08:00:00,SELL,182.91,,bear_high_vol,22999.999999999687,time_exit
60,2023-08-07 13:00:00,BUY,178.39,0.25,bear_high_vol,,
61,2023-08-07 23:00:00,SELL,179.16,,none,19250.000000000255,signal
62,2023-08-09 14:00:00,BUY,177.815,0.25,bear_high_vol,,
63,2023-08-10 08:00:00,SELL,179.25,,bear_high_vol,35875.00000000006,signal
64,2023-08-10 11:00:00,BUY,178.76,0.25,bear_high_vol,,
65,2023-08-10 12:00:00,SELL,179.67,,none,22749.999999999916,signal
66,2023-08-10 16:00:00,BUY,177.97,0.25,bear_high_vol,,
67,2023-08-11 16:00:00,SELL,177.395,,none,-14374.999999999716,time_exit
68,2023-08-15 14:00:00,BUY,177.695,0.25,bear_high_vol,,
69,2023-08-16 14:00:00,SELL,178.215,,none,13000.000000000256,time_exit
70,2023-08-16 22:00:00,BUY,176.36,0.25,bear_high_vol,,
71,2023-08-17 22:00:00,SELL,173.3063,,none,-76342.50000000051,time_exit
72,2023-08-24 14:00:00,BUY,177.895,0.25,bull_high_vol,,
73,2023-08-25 13:00:00,SELL,177.6342,,none,-6520.000000000437,signal
74,2023-09-05 12:00:00,BUY,187.67,0.25,bear_high_vol,,
75,2023-09-05 13:00:00,SELL,188.06,,bear_high_vol,9750.00000000037,signal
76,2023-09-06 10:00:00,BUY,188.38,0.25,bear_high_vol,,
77,2023-09-06 14:00:00,SELL,184.0188,,bear_high_vol,-109029.99999999991,stop_loss
78,2023-09-06 16:00:00,BUY,183.115,0.25,bear_high_vol,,
79,2023-09-07 08:00:00,SELL,177.8,,bear_high_vol,-132874.99999999994,stop_loss
80,2023-09-11 13:00:00,BUY,178.01,0.25,bull_high_vol,,
81,2023-09-11 17:00:00,SELL,179.245,,bull_high_vol,30875.000000000342,signal
82,2023-09-12 14:00:00,BUY,176.345,0.25,bear_high_vol,,
