,annual_return,sharpe_ratio,max_drawdown,total_pnl,win_rate,total_trades
JNJ,-0.13204409444401977,-0.2698345916989039,-0.48327271971703006,-23605.637899999605,0.5454545454545454,55.0
AAPL,-0.007568050020088979,-0.01787643948022097,-0.525353620896323,-1468.9258999996377,0.5925925925925926,108.0
TSLA,0.20930776018724373,0.42810389457291503,-0.3574150452529988,44501.623999999756,0.5503875968992248,129.0
NVDA,0.22464543393307612,0.6856202726369611,-0.37457441349640597,48731.81260000005,0.6388888888888888,108.0
AMD,0.06932097391238679,0.14221865493905864,-0.44561949196975226,14093.050599999675,0.5263157894736842,133.0
COIN,-0.48473699272323345,-0.8099415272634939,-0.617063765573314,-72216.81880000002,0.4918032786885246,122.0
META,0.45482316844598425,1.1404729963588756,-0.3279932517838082,107560.81409999958,0.5630252100840336,119.0
