,timestamp,action,price,size,regime,pnl,exit_reason
0,2023-01-18 14:00:00,BUY,170.5101,0.25,bear_high_vol,,
1,2023-01-19 14:00:00,SELL,170.85,,bear_high_vol,8497.500000000002,time_exit
2,2023-01-27 20:00:00,BUY,168.16,0.25,bear_high_vol,,
3,2023-01-30 11:00:00,SELL,167.67,,none,-12250.000000000227,time_exit
4,2023-01-30 15:00:00,BUY,168.07,0.25,bear_high_vol,,
5,2023-01-30 16:00:00,SELL,163.855,,bear_high_vol,-105375.00000000009,stop_loss
6,2023-01-30 17:00:00,BUY,163.13,0.25,bear_high_vol,,
7,2023-01-31 13:00:00,SELL,161.81,,none,-32999.99999999983,signal
8,2023-02-07 14:00:00,BUY,161.79,0.25,bear_high_vol,,
9,2023-02-08 14:00:00,SELL,163.3605,,bear_high_vol,39262.50000000025,time_exit
10,2023-02-16 14:00:00,BUY,158.085,0.25,bear_high_vol,,
11,2023-02-17 14:00:00,SELL,158.025,,bear_high_vol,-1500.0000000000568,time_exit
12,2023-02-24 17:00:00,BUY,155.26,0.25,bear_high_vol,,
13,2023-02-27 12:00:00,SELL,156.2,,bear_high_vol,23499.99999999994,time_exit
14,2023-02-27 16:00:00,BUY,155.39,0.25,bear_high_vol,,
15,2023-02-28 16:00:00,SELL,154.08,,bear_high_vol,-32749.999999999345,time_exit
16,2023-02-28 19:00:00,BUY,153.35,0.25,bear_high_vol,,
17,2023-03-01 19:00:00,SELL,152.07,,none,-32000.00000000003,time_exit
18,2023-03-07 16:00:00,BUY,153.53,0.25,bear_high_vol,,
19,2023-03-07 18:00:00,SELL,153.91,,bear_high_vol,9499.999999999887,signal
20,2023-03-08 15:00:00,BUY,153.14,0.25,bear_high_vol,,
21,2023-03-09 00:00:00,SELL,152.42,,none,-17999.99999999997,signal
22,2023-03-09 18:00:00,BUY,152.155,0.25,bear_high_vol,,
23,2023-03-10 15:00:00,SELL,152.87,,bear_high_vol,17875.000000000084,signal
24,2023-03-14 16:00:00,BUY,152.38,0.25,bull_high_vol,,
25,2023-03-14 19:00:00,SELL,153.85,,bull_high_vol,36749.99999999997,signal
26,2023-03-17 17:00:00,BUY,153.4,0.25,bear_high_vol,,
27,2023-03-20 08:00:00,SELL,152.21,,none,-29749.99999999994,time_exit
28,2023-03-21 13:00:00,BUY,152.86,0.25,bull_high_vol,,
29,2023-03-21 14:00:00,SELL,153.81,,bull_high_vol,23749.999999999716,signal
30,2023-03-21 15:00:00,BUY,153.06,0.25,bull_high_vol,,
31,2023-03-21 19:00:00,SELL,153.96,,bull_high_vol,22500.000000000142,signal
32,2023-03-22 16:00:00,BUY,152.33,0.25,bear_high_vol,,
33,2023-03-23 16:00:00,SELL,151.485,,none,-21124.99999999997,time_exit
34,2023-03-28 19:00:00,BUY,151.83,0.25,bear_high_vol,,
35,2023-03-28 21:00:00,SELL,152.3,,bear_high_vol,11749.99999999997,signal
36,2023-03-28 22:00:00,BUY,151.98,0.25,bear_high_vol,,
37,2023-03-29 11:00:00,SELL,152.3,,bear_high_vol,8000.00000000054,signal
38,2023-04-18 13:00:00,BUY,162.14,0.25,bear_high_vol,,
39,2023-04-19 13:00:00,SELL,162.17,,bear_high_vol,750.0000000000284,time_exit
40,2023-04-21 18:00:00,BUY,162.32,0.25,bull_high_vol,,
41,2023-04-21 19:00:00,SELL,162.68,,bull_high_vol,9000.000000000342,signal
42,2023-04-26 14:00:00,BUY,162.61,0.25,bear_high_vol,,
43,2023-04-27 14:00:00,SELL,162.57,,none,-1000.0000000005116,time_exit
44,2023-05-03 19:00:00,BUY,162.88,0.25,bear_high_vol,,
45,2023-05-04 19:00:00,SELL,162.16,,none,-17999.99999999997,time_exit
