DATE TIME,NFR
2015-10-21,46.0
2015-10-22,49.0
2015-10-23,50.0
2015-10-24,51.0
2015-10-25,51.0
2015-10-26,49.0
2015-10-27,52.0
2015-10-28,46.0
2015-10-29,44.0
2015-10-30,40.0
2015-10-31,46.0
2015-11-01,51.0
2015-11-02,42.0
2015-11-03,39.0
2015-11-04,34.0
2015-11-05,33.0
2015-11-06,35.0
2015-11-07,39.0
2015-11-08,41.0
2015-11-09,32.0
2015-11-10,32.0
2015-11-11,31.0
2015-11-12,32.0
2015-11-13,38.0
2015-11-14,41.0
2015-11-15,33.0
2015-11-16,29.0
2015-11-17,29.0
2015-11-18,34.0
2015-11-19,37.0
2015-11-20,39.0
2015-11-21,44.0
2015-11-22,45.0
2015-11-23,42.0
2015-11-24,33.0
2015-11-25,29.0
2015-11-26,27.0
2015-11-27,28.0
2015-11-28,28.0
2015-11-29,29.0
2015-11-30,29.0
2015-12-01,33.0
2015-12-02,37.0
2015-12-03,41.0
2015-12-04,35.0
2015-12-05,33.0
2015-12-06,42.0
2015-12-07,41.0
2015-12-08,39.0
2015-12-09,39.0
2015-12-10,39.0
2015-12-11,31.0
2015-12-12,30.0
2015-12-13,30.0
2015-12-14,27.0
2015-12-15,25.0
2015-12-16,26.0
2015-12-17,29.0
2015-12-18,32.0
2015-12-19,36.0
2015-12-20,31.0
2015-12-21,40.0
2015-12-22,38.0
2015-12-23,36.0
2015-12-24,31.0
2015-12-25,25.0
2015-12-26,26.0
2015-12-27,27.0
2015-12-28,30.0
2015-12-29,26.0
2015-12-30,27.0
2015-12-31,27.0
2016-01-01,26.0
2016-01-02,36.0
2016-01-03,38.0
2016-01-04,37.0
2016-01-05,34.0
2016-01-06,34.0
2016-01-07,32.0
2016-01-08,29.0
2016-01-09,35.0
2016-01-10,35.0
2016-01-11,33.0
2016-01-12,34.0
2016-01-13,36.0
2016-01-14,33.0
2016-01-15,38.0
2016-01-16,38.0
2016-01-17,37.0
2016-01-18,38.0
2016-01-19,39.0
2016-01-20,39.0
2016-01-21,38.0
2016-01-22,44.0
2016-01-23,35.0
2016-01-24,33.0
2016-01-25,33.0
2016-01-26,32.0
2016-01-27,38.0
2016-01-28,35.0
2016-01-29,45.0
2016-01-30,42.0
2016-01-31,32.0
2016-02-01,26.0
2016-02-02,27.0
2016-02-03,28.0
2016-02-04,33.0
2016-02-05,33.0
2016-02-06,36.0
2016-02-07,37.0
2016-02-08,44.0
2016-02-09,44.0
2016-02-10,45.0
2016-02-11,44.0
2016-02-12,44.0
2016-02-13,42.0
2016-02-14,40.0
2016-02-15,43.0
2016-02-16,47.0
2016-02-17,47.0
2016-02-18,36.0
2016-02-19,34.0
2016-02-20,33.0
2016-02-21,34.0
2016-02-22,35.0
2016-02-23,36.0
2016-02-24,42.0
2016-02-25,44.0
2016-02-26,45.0
2016-02-27,42.0
2016-02-28,42.0
2016-02-29,39.0
2016-03-01,45.0
2016-03-02,44.0
2016-03-03,45.0
2016-03-04,44.0
2016-03-05,47.0
2016-03-06,41.0
2016-03-07,35.0
2016-03-08,32.0
2016-03-09,38.0
2016-03-10,43.0
2016-03-11,37.0
2016-03-12,35.0
2016-03-13,42.0
2016-03-14,42.0
2016-03-15,39.0
2016-03-16,41.0
2016-03-17,44.0
2016-03-18,45.0
2016-03-19,45.0
2016-03-20,46.0
2016-03-21,44.0
2016-03-22,35.0
2016-03-23,32.0
2016-03-24,40.0
2016-03-25,42.0
2016-03-26,44.0
2016-03-27,45.0
2016-03-28,32.0
2016-03-29,29.0
2016-03-30,34.0
2016-03-31,38.0
2016-04-01,43.0
2016-04-02,45.0
2016-04-03,47.0
2016-04-04,47.0
