DATE TIME,KSP
2015-10-21,33.0
2015-10-22,33.0
2015-10-23,37.0
2015-10-24,36.0
2015-10-25,35.0
2015-10-26,34.0
2015-10-27,38.0
2015-10-28,30.0
2015-10-29,29.0
2015-10-30,35.0
2015-10-31,39.0
2015-11-01,38.0
2015-11-02,24.0
2015-11-03,17.0
2015-11-04,13.0
2015-11-05,18.0
2015-11-06,24.0
2015-11-07,32.0
2015-11-08,25.0
2015-11-09,14.0
2015-11-10,11.0
2015-11-11,22.0
2015-11-12,29.0
2015-11-13,32.0
2015-11-14,30.0
2015-11-15,12.0
2015-11-16,10.0
2015-11-17,30.0
2015-11-18,35.0
2015-11-19,37.0
2015-11-20,36.0
2015-11-21,35.0
2015-11-22,36.0
2015-11-23,31.0
2015-11-24,14.0
2015-11-25,7.0
2015-11-26,7.0
2015-11-27,10.0
2015-11-28,7.0
2015-11-29,11.0
2015-11-30,18.0
2015-12-01,21.0
2015-12-02,31.0
2015-12-03,24.0
2015-12-04,21.0
2015-12-05,30.0
2015-12-06,31.0
2015-12-07,32.0
2015-12-08,38.0
2015-12-09,35.0
2015-12-10,17.0
2015-12-11,11.0
2015-12-12,14.0
2015-12-13,11.0
2015-12-14,6.0
2015-12-15,8.0
2015-12-16,18.0
2015-12-17,25.0
2015-12-18,27.0
2015-12-19,14.0
2015-12-20,10.0
2015-12-21,28.0
2015-12-22,19.0
2015-12-23,14.0
2015-12-24,8.0
2015-12-25,1.0
2015-12-26,2.0
2015-12-27,14.0
2015-12-28,12.0
2015-12-29,10.0
2015-12-30,14.0
2015-12-31,14.0
2016-01-01,16.0
2016-01-02,20.0
2016-01-03,28.0
2016-01-04,22.0
2016-01-05,19.0
2016-01-06,14.0
2016-01-07,9.0
2016-01-08,9.0
2016-01-09,18.0
2016-01-10,15.0
2016-01-11,17.0
2016-01-12,26.0
2016-01-13,20.0
2016-01-14,19.0
2016-01-15,22.0
2016-01-16,27.0
2016-01-17,25.0
2016-01-18,21.0
2016-01-19,23.0
2016-01-20,18.0
2016-01-21,30.0
2016-01-22,25.0
2016-01-23,15.0
2016-01-24,13.0
2016-01-25,20.0
2016-01-26,25.0
2016-01-27,30.0
2016-01-28,31.0
2016-01-29,33.0
2016-01-30,22.0
2016-01-31,11.0
2016-02-01,5.0
2016-02-02,8.0
2016-02-03,11.0
2016-02-04,17.0
2016-02-05,23.0
2016-02-06,28.0
2016-02-07,34.0
2016-02-08,37.0
2016-02-09,38.0
2016-02-10,35.0
2016-02-11,37.0
2016-02-12,34.0
2016-02-13,32.0
2016-02-14,32.0
2016-02-15,34.0
2016-02-16,37.0
2016-02-17,29.0
2016-02-18,18.0
2016-02-19,22.0
2016-02-20,29.0
2016-02-21,29.0
2016-02-22,27.0
2016-02-23,35.0
2016-02-24,32.0
2016-02-25,33.0
2016-02-26,33.0
2016-02-27,31.0
2016-02-28,32.0
2016-02-29,30.0
2016-03-01,33.0
2016-03-02,32.0
2016-03-03,32.0
2016-03-04,30.0
2016-03-05,28.0
2016-03-06,18.0
