DATE TIME,BDM
2015-10-21,50.0
2015-10-22,48.0
2015-10-23,51.0
2015-10-24,52.0
2015-10-25,53.0
2015-10-26,53.0
2015-10-27,53.0
2015-10-28,44.0
2015-10-29,43.0
2015-10-30,46.0
2015-10-31,50.0
2015-11-01,52.0
2015-11-02,33.0
2015-11-03,34.0
2015-11-04,32.0
2015-11-05,32.0
2015-11-06,35.0
2015-11-07,41.0
2015-11-08,41.0
2015-11-09,32.0
2015-11-10,30.0
2015-11-11,29.0
2015-11-12,35.0
2015-11-13,47.0
2015-11-14,44.0
2015-11-15,30.0
2015-11-16,27.0
2015-11-17,29.0
2015-11-18,36.0
2015-11-19,46.0
2015-11-20,47.0
2015-11-21,49.0
2015-11-22,50.0
2015-11-23,44.0
2015-11-24,30.0
2015-11-25,24.0
2015-11-26,23.0
2015-11-27,29.0
2015-11-28,26.0
2015-11-29,28.0
2015-11-30,31.0
2015-12-01,34.0
2015-12-02,42.0
2015-12-03,40.0
2015-12-04,35.0
2015-12-05,34.0
2015-12-06,46.0
2015-12-07,46.0
2015-12-08,45.0
2015-12-09,48.0
2015-12-10,32.0
2015-12-11,30.0
2015-12-12,26.0
2015-12-13,29.0
2015-12-14,24.0
2015-12-15,21.0
2015-12-16,24.0
2015-12-17,29.0
2015-12-18,36.0
2015-12-19,32.0
2015-12-20,30.0
2015-12-21,35.0
2015-12-22,36.0
2015-12-23,31.0
2015-12-24,26.0
2015-12-25,20.0
2015-12-26,21.0
2015-12-27,25.0
2015-12-28,26.0
2015-12-29,22.0
2015-12-30,25.0
2015-12-31,25.0
2016-01-01,28.0
2016-01-02,36.0
2016-01-03,38.0
2016-01-04,35.0
2016-01-05,32.0
2016-01-06,31.0
2016-01-07,30.0
2016-01-08,27.0
2016-01-09,31.0
2016-01-10,32.0
2016-01-11,32.0
2016-01-12,34.0
2016-01-13,33.0
2016-01-14,32.0
2016-01-15,34.0
2016-01-16,37.0
2016-01-17,40.0
2016-01-18,36.0
2016-01-19,37.0
2016-01-20,34.0
2016-01-21,42.0
2016-01-22,39.0
2016-01-23,32.0
2016-01-24,31.0
2016-01-25,30.0
2016-01-26,32.0
2016-01-27,42.0
2016-01-28,40.0
2016-01-29,45.0
2016-01-30,36.0
2016-01-31,27.0
2016-02-01,23.0
2016-02-02,22.0
2016-02-03,26.0
2016-02-04,32.0
2016-02-05,38.0
2016-02-06,40.0
