DATE TIME,GRM
2015-10-21,36.0
2015-10-22,39.0
2015-10-23,40.0
2015-10-24,42.0
2015-10-25,43.0
2015-10-26,42.0
2015-10-27,43.0
2015-10-28,33.0
2015-10-29,32.0
2015-10-30,37.0
2015-10-31,47.0
2015-11-01,42.0
2015-11-02,28.0
2015-11-03,25.0
2015-11-04,19.0
2015-11-05,22.0
2015-11-06,29.0
2015-11-07,35.0
2015-11-08,29.0
2015-11-09,22.0
2015-11-10,17.0
2015-11-11,22.0
2015-11-12,33.0
2015-11-13,37.0
2015-11-14,32.0
2015-11-15,17.0
2015-11-16,15.0
2015-11-17,26.0
2015-11-18,40.0
2015-11-19,41.0
2015-11-20,41.0
2015-11-21,39.0
2015-11-22,41.0
2015-11-23,34.0
2015-11-24,21.0
2015-11-25,14.0
2015-11-26,13.0
2015-11-27,13.0
2015-11-28,12.0
2015-11-29,17.0
2015-11-30,25.0
2015-12-01,29.0
2015-12-02,33.0
2015-12-03,29.0
2015-12-04,28.0
2015-12-05,31.0
2015-12-06,34.0
2015-12-07,38.0
2015-12-08,43.0
2015-12-09,40.0
2015-12-10,24.0
2015-12-11,17.0
2015-12-12,17.0
2015-12-13,18.0
2015-12-14,12.0
2015-12-15,12.0
2015-12-16,19.0
2015-12-17,28.0
2015-12-18,31.0
2015-12-19,22.0
2015-12-20,20.0
2015-12-21,29.0
2015-12-22,25.0
2015-12-23,21.0
2015-12-24,13.0
2015-12-25,8.0
2015-12-26,8.0
2015-12-27,21.0
2015-12-28,16.0
2015-12-29,13.0
2015-12-30,19.0
2015-12-31,18.0
2016-01-01,14.0
2016-01-02,23.0
2016-01-03,32.0
2016-01-04,28.0
2016-01-05,25.0
2016-01-06,22.0
2016-01-07,16.0
2016-01-08,14.0
2016-01-09,22.0
2016-01-10,21.0
2016-01-11,18.0
2016-01-12,27.0
2016-01-13,24.0
2016-01-14,20.0
2016-01-15,26.0
2016-01-16,29.0
2016-01-17,31.0
2016-01-18,28.0
2016-01-19,27.0
2016-01-20,24.0
2016-01-21,33.0
2016-01-22,30.0
2016-01-23,20.0
2016-01-24,19.0
2016-01-25,23.0
2016-01-26,27.0
2016-01-27,35.0
2016-01-28,37.0
2016-01-29,35.0
2016-01-30,26.0
2016-01-31,17.0
2016-02-01,10.0
2016-02-02,11.0
2016-02-03,15.0
2016-02-04,23.0
2016-02-05,27.0
2016-02-06,32.0
2016-02-07,37.0
2016-02-08,42.0
2016-02-09,43.0
2016-02-10,41.0
2016-02-11,43.0
2016-02-12,41.0
2016-02-13,39.0
2016-02-14,39.0
2016-02-15,41.0
2016-02-16,43.0
2016-02-17,32.0
2016-02-18,23.0
2016-02-19,23.0
2016-02-20,32.0
2016-02-21,33.0
2016-02-22,32.0
2016-02-23,37.0
2016-02-24,39.0
2016-02-25,39.0
2016-02-26,38.0
2016-02-27,36.0
2016-02-28,37.0
2016-02-29,36.0
2016-03-01,35.0
2016-03-02,36.0
2016-03-03,34.0
2016-03-04,32.0
2016-03-05,31.0
2016-03-06,25.0
2016-03-07,22.0
2016-03-08,20.0
2016-03-09,31.0
2016-03-10,32.0
2016-03-11,22.0
2016-03-12,20.0
2016-03-13,29.0
2016-03-14,31.0
2016-03-15,29.0
2016-03-16,36.0
2016-03-17,37.0
2016-03-18,37.0
2016-03-19,39.0
2016-03-20,35.0
2016-03-21,28.0
2016-03-22,23.0
2016-03-23,21.0
2016-03-24,34.0
2016-03-25,34.0
2016-03-26,34.0
2016-03-27,34.0
2016-03-28,21.0
2016-03-29,17.0
2016-03-30,20.0
2016-03-31,27.0
2016-04-01,36.0
2016-04-02,37.0
2016-04-03,38.0
2016-04-04,37.0
2016-04-05,39.0
2016-04-06,43.0
2016-04-07,40.0
2016-04-08,37.0
2016-04-09,32.0
2016-04-10,32.0
2016-04-11,32.0
2016-04-12,33.0
2016-04-13,32.0
2016-04-14,28.0
2016-04-15,25.0
2016-04-16,32.0
2016-04-17,36.0
2016-04-18,41.0
2016-04-19,42.0
2016-04-20,41.0
2016-04-21,39.0
2016-04-22,26.0
2016-04-23,22.0
2016-04-24,27.0
2016-04-25,25.0
2016-04-26,26.0
2016-04-27,30.0
2016-04-28,29.0
2016-04-29,32.0
2016-04-30,32.0
2016-05-01,33.0
2016-05-02,35.0
2016-05-03,40.0
2016-05-04,42.0
2016-05-05,32.0
2016-05-06,32.0
2016-05-07,33.0
2016-05-08,34.0
2016-05-09,37.0
2016-05-10,40.0
2016-05-11,40.0
2016-05-12,47.0
2016-05-13,48.0
2016-05-14,39.0
2016-05-15,37.0
2016-05-16,37.0
2016-05-17,37.0
2016-05-18,43.0
2016-05-19,44.0
2016-05-20,29.0
2016-05-21,29.0
2016-05-22,29.0
2016-05-23,32.0
2016-05-24,32.0
2016-05-25,32.0
2016-05-26,34.0
2016-05-27,38.0
2016-05-28,42.0
2016-05-29,44.0
2016-05-30,47.0
2016-05-31,52.0
2016-06-01,53.0
2016-06-02,53.0
2016-06-03,54.0
2016-06-04,56.0
2016-06-05,53.0
2016-06-06,52.0
2016-06-07,55.0
2016-06-08,53.0
2016-06-09,50.0
2016-06-10,47.0
2016-06-11,46.0
2016-06-12,39.0
2016-06-13,42.0
2016-06-14,39.0
2016-06-15,36.0
2016-06-16,32.0
2016-06-17,38.0
2016-06-18,42.0
2016-06-19,49.0
2016-06-20,59.0
2016-06-21,58.0
2016-06-22,56.0
2016-06-23,53.0
2016-06-24,53.0
2016-06-25,53.0
2016-06-26,57.0
2016-06-27,60.0
2016-06-28,53.0
2016-06-29,60.0
2016-06-30,60.0
2016-07-01,59.0
2016-07-02,57.0
2016-07-03,55.0
2016-07-04,54.0
2016-07-05,51.0
2016-07-06,51.0
2016-07-07,51.0
2016-07-08,50.0
2016-07-09,49.0
2016-07-10,48.0
2016-07-11,48.0
2016-07-12,48.0
2016-07-13,54.0
2016-07-14,56.0
2016-07-15,57.0
2016-07-16,55.0
2016-07-17,52.0
2016-07-18,48.0
2016-07-19,50.0
2016-07-20,51.0
2016-07-21,56.0
2016-07-22,56.0
2016-07-23,60.0
2016-07-24,59.0
2016-07-25,59.0
2016-07-26,61.0
2016-07-27,64.0
2016-07-28,64.0
2016-07-29,64.0
2016-07-30,62.0
2016-07-31,59.0
2016-08-01,58.0
2016-08-02,59.0
2016-08-03,57.0
2016-08-04,56.0
2016-08-05,53.0
2016-08-06,49.0
2016-08-07,49.0
2016-08-08,52.0
2016-08-09,50.0
2016-08-10,48.0
2016-08-11,51.0
2016-08-12,55.0
2016-08-13,57.0
2016-08-14,58.0
2016-08-15,57.0
2016-08-16,57.0
2016-08-17,57.0
2016-08-18,58.0
2016-08-19,57.0
2016-08-20,54.0
2016-08-21,56.0
2016-08-22,54.0
2016-08-23,53.0
2016-08-24,53.0
2016-08-25,53.0
2016-08-26,52.0
2016-08-27,52.0
2016-08-28,52.0
2016-08-29,57.0
2016-08-30,58.0
2016-08-31,55.0
2016-09-01,51.0
2016-09-02,49.0
2016-09-03,47.0
2016-09-04,39.0
2016-09-05,42.0
2016-09-06,47.0
2016-09-07,52.0
2016-09-08,53.0
2016-09-09,55.0
2016-09-10,57.0
2016-09-11,50.0
2016-09-12,44.0
2016-09-13,36.0
2016-09-14,37.0
2016-09-15,42.0
2016-09-16,48.0
2016-09-17,51.0
2016-09-18,54.0
2016-09-19,56.0
2016-09-20,51.0
2016-09-21,43.0
2016-09-22,32.0
2016-09-23,32.0
2016-09-24,44.0
2016-09-25,53.0
2016-09-26,52.0
2016-09-27,52.0
2016-09-28,52.0
2016-09-29,49.0
2016-09-30,46.0
2016-10-01,40.0
2016-10-02,29.0
2016-10-03,27.0
2016-10-04,34.0
2016-10-05,32.0
2016-10-06,33.0
2016-10-07,42.0
