DATE TIME,TMR
2015-01-05,3.24
2015-01-06,3.24
2015-01-07,3.24
2015-01-08,3.12
2015-01-09,3.12
2015-01-10,3.12
2015-01-11,3.12
2015-01-12,3.12
2015-01-13,3.12
2015-01-14,3.12
2015-01-15,3.12
2015-01-16,3.12
2015-01-17,3.12
2015-01-18,3.12
2015-01-19,3.12
2015-01-20,3.12
2015-01-21,3.12
2015-01-22,3.0
2015-01-23,2.76
2015-01-24,2.64
2015-01-25,2.64
2015-01-26,2.76
2015-01-27,2.64
2015-01-28,2.76
2015-01-29,2.76
2015-01-30,2.76
2015-01-31,2.64
2015-02-01,2.52
2015-02-02,2.16
2015-02-03,2.28
2015-02-04,2.16
2015-02-05,2.04
2015-02-06,1.8
2015-02-07,1.92
2015-02-08,1.8
2015-02-09,1.44
2015-02-10,1.08
2015-02-11,0.72
2015-02-12,0.48
2015-02-13,0.24
2015-02-14,0.12
2015-02-15,-0.12
2015-02-16,-0.12
2015-02-17,-0.12
2015-02-18,-0.24
2015-02-19,-0.24
2015-02-20,-0.36
2015-02-21,-0.36
2015-02-22,-0.36
2015-02-23,0.24
2015-02-24,0.36
2015-02-25,0.48
2015-02-26,0.6
2015-02-27,0.48
2015-02-28,0.48
2015-03-01,0.6
2015-03-02,0.6
2015-03-03,0.72
2015-03-04,0.84
2015-03-05,0.84
2015-03-06,0.84
2015-03-07,0.84
2015-03-08,0.6
2015-03-09,0.24
2015-03-10,0.12
2015-03-11,0.0
2015-03-12,0.0
2015-03-13,0.0
2015-03-14,-0.12
2015-03-15,-0.12
2015-03-16,-0.24
2015-03-17,-0.24
2015-03-18,-0.36
2015-03-19,-0.36
2015-03-20,-0.36
2015-03-21,-0.36
2015-03-22,-0.48
2015-03-23,-0.48
2015-03-24,-0.36
2015-03-25,-0.36
2015-03-26,-0.36
2015-03-27,-0.36
2015-03-28,-0.36
2015-03-29,-0.36
2015-03-30,-0.36
2015-03-31,-0.36
2015-04-01,-0.48
2015-04-02,-0.48
2015-04-03,-0.48
2015-04-04,-0.48
2015-04-05,-0.48
2015-04-06,-0.48
2015-04-07,-0.48
2015-04-08,0.24
2015-04-09,0.36
2015-04-10,0.48
2015-04-11,0.12
2015-04-12,0.0
2015-04-13,-0.12
2015-04-14,-0.24
2015-04-15,-0.36
2015-04-16,-0.36
2015-04-17,-0.36
2015-04-18,-0.36
2015-04-19,-0.36
2015-04-20,-0.36
2015-04-21,-0.36
2015-04-22,-0.36
2015-04-23,-0.36
2015-04-24,-0.24
2015-04-25,-0.24
2015-04-26,0.72
2015-04-27,0.6
2015-04-28,0.12
2015-04-29,0.0
2015-04-30,-0.12
