date,open,high,low,close,volume,daily_return,log_return,future_return_1d,target_1d,future_return_5d,target_5d,sma_20,sma_200,ema_50,bb_upper,bb_middle,bb_lower,rsi_7,rsi_14,atr_14,vol_ratio_20,corr_20_spy
2020-10-15 04:00:00,49.6,50.28,49.1,49.56,982708,0.05089058524173051,0.04963798109177153,-0.008878127522195411,0,0.0,0,48.001999999999995,50.93,48.7187947983333,52.41945447061826,48.002000000000045,43.58454552938183,55.16129517842917,51.91320375982388,2.685203136394898,0.778075596471602,0.08589000140538464
2020-10-16 04:00:00,50.0,50.52,48.64,49.12,914260,-0.008878127522195411,-0.008917772922054645,0.017100977198697187,1,-0.014657980456026036,0,48.086,50.84620000000001,48.734528335653565,52.521368755806975,48.08600000000004,43.65063124419311,53.04134777569396,50.91140320436699,2.627688626652405,0.7302821677988346,0.13080876546365933
2020-10-19 04:00:00,49.28,50.2,49.12,49.96,748874,0.017100977198697187,0.016956401418489975,-0.008807045636509137,0,-0.01521216973578859,0,48.148,50.7682,48.78258604798088,52.65123261668645,48.14800000000004,43.64476738331363,56.743980088023946,52.78466221576758,2.5171394390343766,0.6407820739076956,0.1360026560493614
2020-10-20 04:00:00,50.32,50.56,49.24,49.52,606227,-0.008807045636509137,-0.008846056881036457,0.02100161550888524,1,0.012116316639741402,1,48.290000000000006,50.684000000000005,48.81150424217771,52.77819785659992,48.29000000000004,43.80180214340017,54.13544401730641,51.67233296890288,2.43162947910335,0.5283539887271781,0.17371073424972178
2020-10-21 04:00:00,50.72,50.96,50.44,50.56,498841,0.02100161550888524,0.020784121462261496,-0.019778481012658222,0,-0.014240506329113901,0,48.3,50.6044,48.88007270326879,52.80745160816903,48.30000000000005,43.79254839183106,59.29542107825038,54.132668992133915,2.360798802024539,0.4545000438928228,0.4563942479454635
2020-10-22 04:00:00,50.2,50.5,49.36,49.56,566326,-0.019778481012658222,-0.019976693077660368,-0.023405972558514954,0,0.012913640032284112,1,48.202000000000005,50.5196,48.906736518826875,52.50578252238506,48.20200000000004,43.89821747761502,52.650544826330645,51.421867097270955,2.2778846018799297,0.5263060803776443,0.4514816110070202
2020-10-23 04:00:00,48.72,49.0,48.3,48.4,526846,-0.023405972558514954,-0.023684243038355923,0.016528925619834878,1,0.05289256198347112,1,48.094,50.428200000000004,48.886864498480726,52.261936659785526,48.094000000000044,43.92606334021456,45.717098217299,48.39442171101387,2.2051785588885067,0.49119139874770185,0.5014576400211788
2020-10-26 04:00:00,49.64,49.92,48.64,49.2,688747,0.016528925619834878,0.016393809775676615,0.018699186991869787,1,-0.004065040650406562,0,48.05800000000001,50.333400000000005,48.899144322069716,52.17434595241736,48.05800000000005,43.94165404758274,50.91766100449938,50.556418663105454,2.1562372332536137,0.6537526347769725,0.4612465322700821
2020-10-27 04:00:00,48.36,50.56,48.32,50.12,576411,0.018699186991869787,0.01852650652960497,-0.005586592178770777,0,-0.07342378292098962,0,48.306,50.245200000000004,48.94702101532189,52.28958833214229,48.306000000000054,44.32241166785782,56.50803597221127,52.99525497816939,2.1622202880212127,0.5913165225445637,0.45491639321937966
2020-10-28 04:00:00,49.84,50.34,49.6,49.84,659061,-0.005586592178770777,-0.005602255548669444,0.007223113964687,1,-0.07062600321027293,0,48.516,50.15740000000001,48.98203979903475,52.35549163301359,48.516000000000055,44.67650836698652,54.31156728106454,52.152115260514364,2.0606331245911265,0.6816963877055696,0.40663027945449765
