date,open,high,low,close,volume,daily_return,log_return,future_return_1d,target_1d,future_return_5d,target_5d,sma_20,sma_200,ema_50,bb_upper,bb_middle,bb_lower,rsi_7,rsi_14,atr_14,vol_ratio_20
2020-10-15 04:00:00,323.14,327.19,322.6,326.74,61165947,-0.0011311179725475018,-0.0011317581692855683,-0.0006121074860745424,0,-0.008324661810614028,0,316.766,290.8215,315.39329998323774,333.0120178505537,316.7659999999998,300.51998214944587,61.98065051657354,59.14469407131335,5.247021626710967,0.8095338757185884
2020-10-16 04:00:00,328.08,329.76,326.33,326.54,90245234,-0.0006121074860745424,-0.0006122949003435352,-0.014944570343602637,0,-0.0048998591290501095,0,317.544,290.94915,315.83042547409116,334.0946077229948,317.5439999999998,300.99339227700483,61.28678480122187,58.857707549183836,5.117234367660184,1.2081780009354952
2020-10-19 04:00:00,327.79,328.43,320.63,321.66,69408028,-0.014944570343602637,-0.015057365630517516,0.0034197599950256397,1,-0.007958714170241877,0,318.2495,291.0637,316.0590362398131,334.22898619325775,318.2494999999998,302.2700138067418,46.47582966775179,52.201821494097146,5.308860484255886,0.9493178299377574
2020-10-20 04:00:00,322.91,326.12,322.14,322.76,61101982,0.0034197599950256397,0.0034139259128043165,-0.0018899491882513608,0,-0.014499938034452866,0,318.8605,291.1777,316.32181913236946,334.54591803715886,318.86049999999983,303.1750819628408,49.67418490441355,53.478878426089935,5.248227592523321,0.8386495113493989
2020-10-21 04:00:00,322.79,327.82,321.91,322.15,64234703,-0.0018899491882513608,-0.0018917373956544026,0.005804749340369453,1,-0.046562160484246475,0,319.806,291.29325,316.55037524482555,333.79959196205334,319.8059999999998,305.8124080379463,47.82526507699108,52.63897725308725,5.2954970502002245,0.9012460203704459
2020-10-22 04:00:00,322.44,324.58,320.27,324.02,56780414,0.005804749340369453,0.005787966697621272,0.002839330905499704,1,-0.04225047836553299,0,320.80350000000004,291.41035,316.8433017058128,332.88107471516435,320.8034999999998,308.7259252848353,53.95483401970378,54.97356353378026,5.225104403757351,0.8094432409857373
2020-10-23 04:00:00,325.23,325.29,322.6,324.94,49904173,0.002839330905499704,0.002835307619331928,-0.017972548778235953,0,-0.05477934387886998,0,321.598,291.522,317.160819285977,332.5129468162003,321.5979999999998,310.68305318379925,56.86358625108697,56.11957917448282,5.044025517774683,0.7229605401525668
2020-10-26 04:00:00,321.66,322.46,315.54,319.1,92872147,-0.017972548778235953,-0.01813601661740627,-0.00319649012848644,0,-0.027170166092134174,0,321.8405,291.60885,317.2368655884877,332.29756550617697,321.8404999999998,311.3834344938226,38.73971644864155,47.80229697942724,5.355166552219346,1.3199974732589008
2020-10-27 04:00:00,319.43,319.77,317.77,318.08,67210558,-0.00319649012848644,-0.003201609815988604,-0.034362424547283776,0,-0.0071051307847082214,0,322.1175,291.68005,317.2699296830569,331.8422989696697,322.1174999999998,312.3927010303299,36.37717329087758,46.50587362440105,5.115511798489393,0.9463229894157278
2020-10-28 04:00:00,312.23,318.01,306.61,307.15,130062418,-0.034362424547283776,-0.034966695858273056,0.010353247598893,1,0.051929024906397676,1,321.7595,291.6989,316.87306969548604,333.0144037757105,321.7594999999998,310.50459622428906,20.64055390933218,35.42036184793392,5.569403812883006,1.8026912143756892
