date,open,high,low,close,volume,average,barCount,localSymbol,expiry
2023-08-18,4379.25,4396.0,4350.0,4382.75,1746289.0,0.0,0.0,ES=F,
2023-08-21,4382.5,4421.0,4372.25,4412.5,1361470.0,0.0,0.0,ES=F,
2023-08-22,4410.25,4440.0,4394.25,4399.25,1375651.0,0.0,0.0,ES=F,
2023-08-23,4400.0,4476.25,4399.5,4447.0,1306640.0,0.0,0.0,ES=F,
2023-08-24,4470.5,4485.5,4378.5,4386.0,1783795.0,0.0,0.0,ES=F,
2023-08-25,4384.5,4429.0,4365.25,4414.25,1853335.0,0.0,0.0,ES=F,
2023-08-28,4418.0,4449.5,4414.5,4442.25,1266414.0,0.0,0.0,ES=F,
2023-08-29,4444.0,4509.5,4433.5,4506.75,1444714.0,0.0,0.0,ES=F,
2023-08-30,4508.75,4530.75,4496.25,4524.25,1397669.0,0.0,0.0,ES=F,
2023-08-31,4527.0,4541.25,4512.75,4516.0,1395751.0,0.0,0.0,ES=F,
2023-09-01,4516.75,4547.75,4507.25,4521.5,1416762.0,0.0,0.0,ES=F,
2023-09-05,4521.25,4531.25,4499.25,4502.5,1391805.0,0.0,0.0,ES=F,
2023-09-06,4500.0,4503.75,4447.0,4471.5,1600128.0,0.0,0.0,ES=F,
2023-09-07,4469.5,4471.75,4434.25,4456.25,1602226.0,0.0,0.0,ES=F,
2023-09-08,4458.25,4477.5,4443.0,4461.75,1686158.0,0.0,0.0,ES=F,
2023-09-11,4463.5,4493.5,4459.25,4490.25,1714266.0,0.0,0.0,ES=F,
2023-09-12,4487.75,4491.0,4458.75,4465.0,1153961.0,0.0,0.0,ES=F,
2023-09-13,4464.5,4481.0,4446.75,4468.75,690872.0,0.0,0.0,ES=F,
2023-09-14,4471.75,4513.0,4470.25,4506.0,454906.0,0.0,0.0,ES=F,
2023-09-15,4508.0,4517.75,4480.0,4491.72021484375,1825966.0,0.0,0.0,ES=F,
2023-09-18,4499.5,4514.5,4487.0,4501.5,1155158.0,0.0,0.0,ES=F,
2023-09-19,4503.25,4509.5,4462.25,4490.0,1422950.0,0.0,0.0,ES=F,
2023-09-20,4491.25,4508.0,4443.25,4447.0,1482206.0,0.0,0.0,ES=F,
2023-09-21,4445.0,4447.0,4366.5,4372.0,1998638.0,0.0,0.0,ES=F,
2023-09-22,4370.25,4399.0,4357.25,4361.0,1736576.0,0.0,0.0,ES=F,
2023-09-25,4365.0,4383.5,4338.25,4378.75,1561595.0,0.0,0.0,ES=F,
2023-09-26,4382.0,4382.0,4305.5,4314.75,1758048.0,0.0,0.0,ES=F,
2023-09-27,4320.25,4336.5,4277.0,4313.5,1965913.0,0.0,0.0,ES=F,
2023-09-28,4323.25,4355.75,4301.0,4337.5,2012088.0,0.0,0.0,ES=F,
2023-09-29,4342.0,4371.25,4311.0,4325.5,2106053.0,0.0,0.0,ES=F,
2023-10-02,4349.0,4355.5,4295.5,4324.25,1950463.0,0.0,0.0,ES=F,
2023-10-03,4326.0,4335.75,4251.25,4264.75,2256808.0,0.0,0.0,ES=F,
2023-10-04,4262.75,4304.0,4235.5,4297.75,2168271.0,0.0,0.0,ES=F,
2023-10-05,4291.5,4302.0,4258.0,4290.75,1673477.0,0.0,0.0,ES=F,
2023-10-06,4287.5,4358.5,4242.25,4341.5,2216456.0,0.0,0.0,ES=F,
2023-10-09,4315.0,4375.75,4299.5,4368.75,1485254.0,0.0,0.0,ES=F,
2023-10-10,4368.75,4419.0,4366.25,4391.5,1610271.0,0.0,0.0,ES=F,
2023-10-11,4392.0,4419.75,4377.25,4409.75,1489644.0,0.0,0.0,ES=F,
2023-10-12,4417.75,4430.5,4355.5,4380.5,1881573.0,0.0,0.0,ES=F,
2023-10-13,4380.75,4407.75,4340.75,4357.25,2159101.0,0.0,0.0,ES=F,
2023-10-16,4356.75,4414.25,4354.5,4401.0,1668948.0,0.0,0.0,ES=F,
2023-10-17,4406.25,4423.25,4365.75,4401.75,1879736.0,0.0,0.0,ES=F,
2023-10-18,4398.0,4399.25,4330.75,4342.25,2271572.0,0.0,0.0,ES=F,
2023-10-19,4346.5,4366.5,4292.75,4303.0,2741942.0,0.0,0.0,ES=F,
2023-10-20,4295.0,4304.25,4243.5,4248.5,2328806.0,0.0,0.0,ES=F,
2023-10-23,4256.25,4280.75,4213.25,4241.75,1963670.0,0.0,0.0,ES=F,
2023-10-24,4250.25,4290.5,4242.0,4271.25,1807092.0,0.0,0.0,ES=F,
2023-10-25,4269.5,4273.5,4203.75,4209.75,1981633.0,0.0,0.0,ES=F,
2023-10-26,4202.0,4205.0,4146.25,4156.5,2419407.0,0.0,0.0,ES=F,
2023-10-27,4167.0,4185.0,4122.25,4137.75,2195767.0,0.0,0.0,ES=F,
2023-10-30,4148.0,4197.5,4143.5,4185.75,1904610.0,0.0,0.0,ES=F,
2023-10-31,4184.25,4215.0,4166.75,4212.25,1836212.0,0.0,0.0,ES=F,
2023-11-01,4205.0,4264.75,4191.25,4256.0,2027080.0,0.0,0.0,ES=F,
2023-11-02,4258.5,4339.75,4257.75,4335.75,1819596.0,0.0,0.0,ES=F,
2023-11-03,4327.5,4391.75,4325.5,4376.0,1803552.0,0.0,0.0,ES=F,
2023-11-06,4379.25,4389.5,4364.25,4384.25,1348878.0,0.0,0.0,ES=F,
2023-11-07,4380.0,4403.25,4366.0,4396.0,1371257.0,0.0,0.0,ES=F,
2023-11-08,4397.5,4407.75,4375.0,4399.5,1390288.0,0.0,0.0,ES=F,
2023-11-09,4393.25,4413.0,4357.75,4362.25,1972630.0,0.0,0.0,ES=F,
2023-11-10,4364.5,4435.5,4354.25,4430.5,1752002.0,0.0,0.0,ES=F,
2023-11-13,4425.75,4436.75,4407.25,4425.25,1276182.0,0.0,0.0,ES=F,
2023-11-14,4427.25,4524.25,4420.25,4511.0,1901847.0,0.0,0.0,ES=F,
2023-11-15,4515.5,4541.25,4510.75,4519.25,1573452.0,0.0,0.0,ES=F,
2023-11-16,4514.25,4529.5,4501.75,4523.25,1491734.0,0.0,0.0,ES=F,
2023-11-17,4527.75,4539.5,4512.75,4527.5,1331912.0,0.0,0.0,ES=F,
2023-11-20,4526.75,4571.0,4520.0,4562.25,1220790.0,0.0,0.0,ES=F,
2023-11-21,4561.75,4567.0,4536.75,4551.25,1101669.0,0.0,0.0,ES=F,
