date,open,high,low,close,volume,average,barCount,localSymbol,expiry
2023-08-18,589.0,615.75,588.5,613.25,32904.0,0.0,0.0,ZW=F,
2023-08-21,618.0,620.75,595.75,599.25,24478.0,0.0,0.0,ZW=F,
2023-08-22,599.0,610.75,594.5,601.75,26011.0,0.0,0.0,ZW=F,
2023-08-23,604.25,617.0,598.25,612.5,22591.0,0.0,0.0,ZW=F,
2023-08-24,614.75,615.0,598.25,604.0,21786.0,0.0,0.0,ZW=F,
2023-08-25,604.5,609.75,587.5,593.25,28997.0,0.0,0.0,ZW=F,
2023-08-28,593.5,599.25,584.0,588.0,21644.0,0.0,0.0,ZW=F,
2023-08-29,588.0,589.0,568.75,569.75,27766.0,0.0,0.0,ZW=F,
2023-08-30,572.75,579.5,564.5,576.75,12815.0,0.0,0.0,ZW=F,
2023-08-31,574.0,582.75,566.0,573.0,1699.0,0.0,0.0,ZW=F,
2023-09-01,574.0,585.0,567.5,567.5,725.0,0.0,0.0,ZW=F,
2023-09-05,569.25,575.0,567.0,572.5,104.0,0.0,0.0,ZW=F,
2023-09-06,577.5,587.0,576.5,581.0,309.0,0.0,0.0,ZW=F,
2023-09-07,578.25,585.0,571.5,571.5,152.0,0.0,0.0,ZW=F,
2023-09-08,567.25,567.25,567.25,567.25,50.0,0.0,0.0,ZW=F,
2023-09-11,561.5,561.5,556.0,556.0,189.0,0.0,0.0,ZW=F,
2023-09-12,557.25,560.25,548.0,560.25,167.0,0.0,0.0,ZW=F,
2023-09-13,562.5,569.0,562.5,569.0,42.0,0.0,0.0,ZW=F,
2023-09-14,567.5,567.5,567.5,567.5,55236.0,0.0,0.0,ZW=F,
2023-09-15,594.25,607.5,591.75,604.25,65394.0,0.0,0.0,ZW=F,
2023-09-18,604.0,604.25,587.0,591.25,64919.0,0.0,0.0,ZW=F,
2023-09-19,588.0,592.75,581.0,584.0,58587.0,0.0,0.0,ZW=F,
2023-09-20,585.25,596.25,581.5,588.75,63637.0,0.0,0.0,ZW=F,
2023-09-21,589.0,590.25,575.0,575.75,50330.0,0.0,0.0,ZW=F,
2023-09-22,576.5,582.5,572.75,579.5,45559.0,0.0,0.0,ZW=F,
2023-09-25,577.0,590.0,573.75,589.0,44697.0,0.0,0.0,ZW=F,
2023-09-26,589.0,596.75,583.25,589.0,48882.0,0.0,0.0,ZW=F,
2023-09-27,589.25,594.5,578.5,579.5,55807.0,0.0,0.0,ZW=F,
2023-09-28,580.5,583.5,575.25,578.75,43969.0,0.0,0.0,ZW=F,
2023-09-29,579.5,585.5,540.0,541.5,123780.0,0.0,0.0,ZW=F,
2023-10-02,545.0,567.0,541.25,564.75,96364.0,0.0,0.0,ZW=F,
2023-10-03,568.25,575.0,562.75,568.5,75409.0,0.0,0.0,ZW=F,
2023-10-04,567.5,569.75,551.75,560.0,66479.0,0.0,0.0,ZW=F,
2023-10-05,559.75,580.25,559.0,578.25,69807.0,0.0,0.0,ZW=F,
2023-10-06,576.0,580.25,566.5,568.25,50140.0,0.0,0.0,ZW=F,
2023-10-09,573.25,581.5,570.0,572.75,46092.0,0.0,0.0,ZW=F,
2023-10-10,573.75,574.75,555.5,558.5,48419.0,0.0,0.0,ZW=F,
2023-10-11,559.0,560.75,551.0,556.0,43895.0,0.0,0.0,ZW=F,
2023-10-12,557.25,574.5,547.25,571.5,83008.0,0.0,0.0,ZW=F,
2023-10-13,572.0,586.25,569.5,579.75,87479.0,0.0,0.0,ZW=F,
2023-10-16,580.0,588.5,575.25,577.25,56769.0,0.0,0.0,ZW=F,
2023-10-17,577.0,582.25,568.5,570.5,53405.0,0.0,0.0,ZW=F,
2023-10-18,572.5,584.0,571.25,580.25,52739.0,0.0,0.0,ZW=F,
2023-10-19,579.75,594.5,576.5,594.0,65379.0,0.0,0.0,ZW=F,
2023-10-20,594.0,604.5,583.25,586.0,81524.0,0.0,0.0,ZW=F,
2023-10-23,586.5,595.25,582.0,587.25,48387.0,0.0,0.0,ZW=F,
2023-10-24,587.75,588.0,572.75,580.5,47630.0,0.0,0.0,ZW=F,
2023-10-25,580.0,586.25,567.0,568.5,57951.0,0.0,0.0,ZW=F,
2023-10-26,569.25,580.5,563.25,579.5,72437.0,0.0,0.0,ZW=F,
2023-10-27,580.25,582.5,571.0,575.5,48608.0,0.0,0.0,ZW=F,
2023-10-30,576.0,577.0,565.25,566.0,60510.0,0.0,0.0,ZW=F,
2023-10-31,568.25,568.5,554.5,556.25,72016.0,0.0,0.0,ZW=F,
2023-11-01,557.5,564.75,554.75,561.75,58783.0,0.0,0.0,ZW=F,
2023-11-02,562.25,569.5,557.25,565.5,53492.0,0.0,0.0,ZW=F,
2023-11-03,565.75,574.5,563.75,572.5,41970.0,0.0,0.0,ZW=F,
2023-11-06,573.0,577.75,566.5,575.75,68699.0,0.0,0.0,ZW=F,
2023-11-07,574.0,582.25,564.5,570.25,106304.0,0.0,0.0,ZW=F,
2023-11-08,571.5,598.75,570.25,592.25,144369.0,0.0,0.0,ZW=F,
2023-11-09,590.0,592.5,573.0,580.75,85078.0,0.0,0.0,ZW=F,
2023-11-10,581.75,583.0,570.75,575.25,68735.0,0.0,0.0,ZW=F,
2023-11-13,575.0,582.0,567.25,579.0,80609.0,0.0,0.0,ZW=F,
2023-11-14,581.0,585.0,570.25,572.0,65166.0,0.0,0.0,ZW=F,
2023-11-15,572.75,579.25,557.0,560.5,83309.0,0.0,0.0,ZW=F,
2023-11-16,562.25,562.5,547.0,553.5,57404.0,0.0,0.0,ZW=F,
2023-11-17,555.75,557.75,547.0,550.75,51395.0,0.0,0.0,ZW=F,
2023-11-20,550.75,554.0,541.0,543.5,42772.0,0.0,0.0,ZW=F,
2023-11-21,544.0,557.0,541.75,555.0,43240.0,0.0,0.0,ZW=F,
2023-11-22,556.0,563.5,554.5,555.75,29106.0,0.0,0.0,ZW=F,
2023-11-24,555.0,555.75,546.5,548.75,26202.0,0.0,0.0,ZW=F,
2023-11-27,550.0,552.75,527.5,534.25,41484.0,0.0,0.0,ZW=F,
2023-11-28,534.0,545.5,528.0,543.75,31630.0,0.0,0.0,ZW=F,
2023-11-29,544.5,559.0,542.75,556.0,19771.0,0.0,0.0,ZW=F,
2023-11-30,557.5,570.25,555.5,570.25,1556.0,0.0,0.0,ZW=F,
2023-12-01,569.25,577.5,569.25,577.0,665.0,0.0,0.0,ZW=F,
2023-12-04,583.0,595.75,583.0,595.75,371.0,0.0,0.0,ZW=F,
2023-12-05,601.0,620.75,597.75,620.75,582.0,0.0,0.0,ZW=F,
2023-12-06,625.75,634.0,615.75,615.75,50.0,0.0,0.0,ZW=F,
2023-12-07,622.75,626.0,622.75,626.0,93.0,0.0,0.0,ZW=F,
2023-12-08,618.75,619.0,615.0,615.0,17.0,0.0,0.0,ZW=F,
2023-12-11,591.25,591.25,591.25,591.25,198.0,0.0,0.0,ZW=F,
2023-12-12,607.0,607.0,607.0,607.0,145.0,0.0,0.0,ZW=F,
2023-12-13,585.25,585.25,585.25,585.25,214.0,0.0,0.0,ZW=F,
2023-12-14,594.0,594.0,594.0,594.0,46870.0,0.0,0.0,ZW=F,
2023-12-15,616.0,630.0,610.75,629.25,52711.0,0.0,0.0,ZW=F,
2023-12-18,629.75,632.0,614.75,617.0,43591.0,0.0,0.0,ZW=F,
2023-12-19,618.25,624.25,611.25,622.75,42919.0,0.0,0.0,ZW=F,
2023-12-20,622.5,625.25,609.0,610.0,39373.0,0.0,0.0,ZW=F,
2023-12-21,611.5,617.25,610.25,612.5,33648.0,0.0,0.0,ZW=F,
2023-12-22,612.5,618.25,610.75,616.25,26134.0,0.0,0.0,ZW=F,
2023-12-26,615.0,639.75,611.5,636.25,40674.0,0.0,0.0,ZW=F,
2023-12-27,636.0,637.5,619.25,623.0,38063.0,0.0,0.0,ZW=F,
2023-12-28,624.25,636.25,621.75,631.5,32254.0,0.0,0.0,ZW=F,
2023-12-29,631.0,633.5,621.5,628.0,34752.0,0.0,0.0,ZW=F,
2024-01-02,628.75,628.75,604.75,606.75,61472.0,0.0,0.0,ZW=F,
2024-01-03,608.0,609.75,598.25,600.25,63996.0,0.0,0.0,ZW=F,
2024-01-04,601.5,614.5,591.25,613.5,63693.0,0.0,0.0,ZW=F,
2024-01-05,613.0,621.5,611.5,616.0,43101.0,0.0,0.0,ZW=F,
2024-01-08,617.0,617.25,593.0,596.25,70376.0,0.0,0.0,ZW=F,
2024-01-09,596.0,613.75,594.0,610.0,57128.0,0.0,0.0,ZW=F,
2024-01-10,610.25,612.0,603.75,610.75,40391.0,0.0,0.0,ZW=F,
2024-01-11,610.0,614.75,602.0,603.75,38907.0,0.0,0.0,ZW=F,
2024-01-12,604.0,611.75,587.25,596.0,82712.0,0.0,0.0,ZW=F,
2024-01-16,596.0,602.25,576.75,582.0,61371.0,0.0,0.0,ZW=F,
2024-01-17,581.5,595.75,577.75,582.5,69550.0,0.0,0.0,ZW=F,
2024-01-18,583.5,587.0,573.25,585.5,50947.0,0.0,0.0,ZW=F,
2024-01-19,586.25,598.0,584.75,593.25,48393.0,0.0,0.0,ZW=F,
