timestamp,open,high,low,close,volume
2023-12-27 11:15:00-05:00,475.455,475.47,475.4,475.445,203057.0
2023-12-27 11:20:00-05:00,475.45,475.475,475.3425,475.35,629529.0
2023-12-27 11:25:00-05:00,475.3587,475.47,475.2,475.47,382218.0
2023-12-27 11:30:00-05:00,475.47,475.64,475.41,475.6,998458.0
2023-12-27 11:35:00-05:00,475.595,475.79,475.595,475.73,378210.0
2023-12-27 11:40:00-05:00,475.725,475.93,475.67,475.875,736184.0
2023-12-27 11:45:00-05:00,475.875,475.89,475.7201,475.79,281188.0
2023-12-27 11:50:00-05:00,475.79,475.88,475.71,475.81,287353.0
2023-12-27 11:55:00-05:00,475.82,475.9,475.75,475.775,244606.0
2023-12-27 12:00:00-05:00,475.77,475.88,475.57,475.7099,375958.0
2023-12-27 12:05:00-05:00,475.705,475.75,475.65,475.74,213270.0
2023-12-27 12:10:00-05:00,475.74,475.93,475.7346,475.875,282797.0
2023-12-27 12:15:00-05:00,475.88,475.93,475.83,475.8796,305726.0
2023-12-27 12:20:00-05:00,475.88,476.07,475.78,475.91,363462.0
2023-12-27 12:25:00-05:00,475.915,475.92,475.805,475.84,191114.0
2023-12-27 12:30:00-05:00,475.84,475.97,475.83,475.915,245372.0
2023-12-27 12:35:00-05:00,475.92,475.92,475.61,475.69,245101.0
2023-12-27 12:40:00-05:00,475.7,475.7085,475.29,475.4204,401925.0
2023-12-27 12:45:00-05:00,475.42,475.6,475.37,475.5714,273274.0
2023-12-27 12:50:00-05:00,475.5703,475.6,475.484,475.5,478091.0
2023-12-27 12:55:00-05:00,475.51,475.62,475.49,475.55,208808.0
2023-12-27 13:00:00-05:00,475.54,475.96,475.54,475.9,346566.0
2023-12-27 13:05:00-05:00,475.9,476.56,475.88,476.43,1040056.0
2023-12-27 13:10:00-05:00,476.43,476.66,476.2,476.24,1407305.0
2023-12-27 13:15:00-05:00,476.25,476.52,476.15,476.34,753688.0
2023-12-27 13:20:00-05:00,476.34,476.395,476.21,476.23,491079.0
2023-12-27 13:25:00-05:00,476.214,476.36,476.11,476.2399,266100.0
2023-12-27 13:30:00-05:00,476.25,476.42,476.14,476.225,416205.0
2023-12-27 13:35:00-05:00,476.2202,476.3401,476.2,476.3099,342283.0
2023-12-27 13:40:00-05:00,476.305,476.46,476.305,476.44,287276.0
