DATE TIME,AGP
2015-10-21,35.0
2015-10-22,37.0
2015-10-23,41.0
2015-10-24,42.0
2015-10-25,39.0
2015-10-26,40.0
2015-10-27,40.0
2015-10-28,35.0
2015-10-29,32.0
2015-10-30,40.0
2015-10-31,45.0
2015-11-01,46.0
2015-11-02,29.0
2015-11-03,22.0
2015-11-04,16.0
2015-11-05,25.0
2015-11-06,29.0
2015-11-07,34.0
2015-11-08,30.0
2015-11-09,21.0
2015-11-10,15.0
2015-11-11,25.0
2015-11-12,30.0
2015-11-13,36.0
2015-11-14,36.0
2015-11-15,22.0
2015-11-16,16.0
2015-11-17,33.0
2015-11-18,36.0
2015-11-19,39.0
2015-11-20,36.0
2015-11-21,36.0
2015-11-22,36.0
2015-11-23,32.0
2015-11-24,27.0
2015-11-25,13.0
2015-11-26,9.0
2015-11-27,10.0
2015-11-28,10.0
2015-11-29,16.0
2015-11-30,24.0
2015-12-01,28.0
2015-12-02,33.0
2015-12-03,32.0
2015-12-04,24.0
2015-12-05,31.0
2015-12-06,34.0
2015-12-07,37.0
2015-12-08,38.0
2015-12-09,41.0
2015-12-10,28.0
2015-12-11,18.0
2015-12-12,23.0
2015-12-13,21.0
2015-12-14,9.0
2015-12-15,9.0
2015-12-16,21.0
2015-12-17,30.0
2015-12-18,29.0
2015-12-19,23.0
2015-12-20,18.0
2015-12-21,31.0
2015-12-22,32.0
2015-12-23,23.0
2015-12-24,13.0
2015-12-25,9.0
2015-12-26,15.0
2015-12-27,24.0
2015-12-28,15.0
2015-12-29,15.0
2015-12-30,16.0
2015-12-31,15.0
2016-01-01,14.0
2016-01-02,25.0
2016-01-03,30.0
2016-01-04,25.0
2016-01-05,24.0
2016-01-06,17.0
2016-01-07,14.0
2016-01-08,15.0
2016-01-09,20.0
2016-01-10,18.0
2016-01-11,22.0
2016-01-12,29.0
2016-01-13,27.0
2016-01-14,24.0
2016-01-15,26.0
2016-01-16,28.0
2016-01-17,28.0
2016-01-18,27.0
2016-01-19,25.0
2016-01-20,29.0
2016-01-21,33.0
2016-01-22,29.0
2016-01-23,23.0
2016-01-24,21.0
2016-01-25,24.0
2016-01-26,32.0
2016-01-27,35.0
2016-01-28,35.0
2016-01-29,36.0
2016-01-30,27.0
2016-01-31,19.0
2016-02-01,9.0
2016-02-02,15.0
2016-02-03,22.0
2016-02-04,21.0
2016-02-05,27.0
2016-02-06,32.0
2016-02-07,34.0
2016-02-08,34.0
2016-02-09,39.0
2016-02-10,38.0
2016-02-11,40.0
2016-02-12,38.0
2016-02-13,34.0
2016-02-14,34.0
2016-02-15,37.0
2016-02-16,41.0
2016-02-17,33.0
2016-02-18,22.0
2016-02-19,32.0
2016-02-20,34.0
2016-02-21,34.0
2016-02-22,33.0
2016-02-23,37.0
2016-02-24,36.0
2016-02-25,39.0
2016-02-26,40.0
2016-02-27,35.0
2016-02-28,37.0
2016-02-29,36.0
2016-03-01,38.0
2016-03-02,37.0
2016-03-03,37.0
2016-03-04,34.0
2016-03-05,31.0
2016-03-06,24.0
2016-03-07,23.0
2016-03-08,27.0
2016-03-09,34.0
2016-03-10,38.0
2016-03-11,26.0
2016-03-12,26.0
2016-03-13,30.0
2016-03-14,33.0
2016-03-15,32.0
2016-03-16,37.0
2016-03-17,38.0
2016-03-18,39.0
2016-03-19,38.0
2016-03-20,35.0
2016-03-21,31.0
2016-03-22,23.0
2016-03-23,30.0
2016-03-24,36.0
2016-03-25,36.0
2016-03-26,37.0
2016-03-27,35.0
2016-03-28,23.0
2016-03-29,20.0
2016-03-30,23.0
2016-03-31,32.0
2016-04-01,39.0
2016-04-02,38.0
2016-04-03,38.0
2016-04-04,38.0
2016-04-05,41.0
2016-04-06,44.0
2016-04-07,42.0
2016-04-08,40.0
2016-04-09,32.0
2016-04-10,34.0
2016-04-11,36.0
2016-04-12,37.0
2016-04-13,34.0
2016-04-14,31.0
2016-04-15,24.0
2016-04-16,34.0
2016-04-17,40.0
2016-04-18,42.0
2016-04-19,43.0
2016-04-20,42.0
2016-04-21,43.0
2016-04-22,31.0
2016-04-23,33.0
2016-04-24,31.0
2016-04-25,25.0
2016-04-26,33.0
2016-04-27,31.0
2016-04-28,29.0
2016-04-29,34.0
2016-04-30,29.0
2016-05-01,33.0
2016-05-02,37.0
2016-05-03,40.0
2016-05-04,41.0
2016-05-05,35.0
2016-05-06,32.0
2016-05-07,33.0
2016-05-08,35.0
2016-05-09,43.0
2016-05-10,44.0
2016-05-11,45.0
2016-05-12,47.0
2016-05-13,49.0
2016-05-14,43.0
2016-05-15,39.0
2016-05-16,39.0
2016-05-17,39.0
2016-05-18,44.0
2016-05-19,43.0
2016-05-20,30.0
2016-05-21,27.0
2016-05-22,31.0
2016-05-23,34.0
2016-05-24,34.0
2016-05-25,35.0
2016-05-26,39.0
2016-05-27,41.0
2016-05-28,39.0
2016-05-29,44.0
2016-05-30,49.0
2016-05-31,51.0
2016-06-01,53.0
2016-06-02,52.0
2016-06-03,56.0
2016-06-04,57.0
2016-06-05,53.0
2016-06-06,53.0
2016-06-07,55.0
2016-06-08,56.0
2016-06-09,53.0
2016-06-10,50.0
2016-06-11,46.0
2016-06-12,38.0
2016-06-13,44.0
2016-06-14,44.0
2016-06-15,40.0
2016-06-16,40.0
2016-06-17,43.0
2016-06-18,49.0
2016-06-19,53.0
2016-06-20,60.0
2016-06-21,59.0
2016-06-22,57.0
2016-06-23,54.0
2016-06-24,54.0
2016-06-25,57.0
2016-06-26,58.0
2016-06-27,60.0
2016-06-28,55.0
2016-06-29,58.0
2016-06-30,58.0
2016-07-01,57.0
2016-07-02,54.0
2016-07-03,55.0
2016-07-04,54.0
2016-07-05,51.0
2016-07-06,52.0
2016-07-07,52.0
2016-07-08,52.0
2016-07-09,50.0
2016-07-10,50.0
2016-07-11,50.0
2016-07-12,52.0
2016-07-13,57.0
2016-07-14,60.0
2016-07-15,59.0
2016-07-16,54.0
2016-07-17,53.0
2016-07-18,54.0
2016-07-19,52.0
2016-07-20,54.0
2016-07-21,56.0
2016-07-22,58.0
2016-07-23,60.0
2016-07-24,59.0
2016-07-25,59.0
2016-07-26,62.0
2016-07-27,64.0
2016-07-28,65.0
2016-07-29,64.0
2016-07-30,61.0
2016-07-31,58.0
2016-08-01,59.0
2016-08-02,59.0
2016-08-03,59.0
2016-08-04,57.0
2016-08-05,52.0
2016-08-06,52.0
2016-08-07,51.0
2016-08-08,52.0
2016-08-09,50.0
2016-08-10,50.0
2016-08-11,55.0
2016-08-12,57.0
2016-08-13,59.0
2016-08-14,58.0
2016-08-15,57.0
2016-08-16,59.0
2016-08-17,56.0
2016-08-18,57.0
2016-08-19,56.0
2016-08-20,57.0
2016-08-21,56.0
2016-08-22,53.0
2016-08-23,53.0
2016-08-24,55.0
2016-08-25,53.0
2016-08-26,51.0
2016-08-27,53.0
2016-08-28,54.0
2016-08-29,56.0
2016-08-30,56.0
2016-08-31,55.0
2016-09-01,52.0
2016-09-02,50.0
2016-09-03,46.0
2016-09-04,44.0
2016-09-05,47.0
2016-09-06,49.0
2016-09-07,53.0
2016-09-08,54.0
2016-09-09,57.0
2016-09-10,55.0
2016-09-11,48.0
2016-09-12,46.0
2016-09-13,36.0
2016-09-14,42.0
2016-09-15,46.0
2016-09-16,48.0
2016-09-17,51.0
2016-09-18,54.0
2016-09-19,53.0
2016-09-20,50.0
2016-09-21,43.0
2016-09-22,34.0
2016-09-23,40.0
2016-09-24,49.0
2016-09-25,51.0
2016-09-26,53.0
2016-09-27,52.0
2016-09-28,49.0
2016-09-29,44.0
2016-09-30,46.0
2016-10-01,43.0
2016-10-02,33.0
2016-10-03,28.0
2016-10-04,34.0
2016-10-05,34.0
2016-10-06,39.0
2016-10-07,44.0
2016-10-08,46.0
2016-10-09,46.0
2016-10-10,44.0
2016-10-11,45.0
2016-10-12,44.0
2016-10-13,45.0
2016-10-14,40.0
2016-10-15,38.0
2016-10-16,35.0
2016-10-17,35.0
2016-10-18,36.0
2016-10-19,41.0
2016-10-20,46.0
2016-10-21,44.0
2016-10-22,44.0
2016-10-23,43.0
2016-10-24,37.0
2016-10-25,40.0
2016-10-26,43.0
2016-10-27,41.0
2016-10-28,37.0
2016-10-29,38.0
2016-10-30,34.0
2016-10-31,30.0
2016-11-01,32.0
2016-11-02,38.0
2016-11-03,40.0
2016-11-04,39.0
2016-11-05,39.0
2016-11-06,36.0
