DATE TIME,TMR
2015-10-21,44.0
2015-10-22,45.0
2015-10-23,48.0
2015-10-24,49.0
2015-10-25,48.0
2015-10-26,49.0
2015-10-27,49.0
2015-10-28,40.0
2015-10-29,40.0
2015-10-30,51.0
2015-10-31,52.0
2015-11-01,49.0
2015-11-02,35.0
2015-11-03,30.0
2015-11-04,24.0
2015-11-05,29.0
2015-11-06,37.0
2015-11-07,41.0
2015-11-08,39.0
2015-11-09,27.0
2015-11-10,24.0
2015-11-11,34.0
2015-11-12,41.0
2015-11-13,42.0
2015-11-14,41.0
2015-11-15,27.0
2015-11-16,26.0
2015-11-17,42.0
2015-11-18,47.0
2015-11-19,47.0
2015-11-20,48.0
2015-11-21,45.0
2015-11-22,45.0
2015-11-23,40.0
2015-11-24,31.0
2015-11-25,18.0
2015-11-26,20.0
2015-11-27,21.0
2015-11-28,21.0
2015-11-29,24.0
2015-11-30,32.0
2015-12-01,35.0
2015-12-02,41.0
2015-12-03,38.0
2015-12-04,31.0
2015-12-05,38.0
2015-12-06,41.0
2015-12-07,45.0
2015-12-08,48.0
2015-12-09,47.0
2015-12-10,33.0
2015-12-11,23.0
2015-12-12,26.0
2015-12-13,27.0
2015-12-14,17.0
2015-12-15,20.0
2015-12-16,28.0
2015-12-17,35.0
2015-12-18,37.0
2015-12-19,28.0
2015-12-20,26.0
2015-12-21,33.0
2015-12-22,32.0
2015-12-23,26.0
2015-12-24,18.0
2015-12-25,14.0
2015-12-26,21.0
2015-12-27,28.0
2015-12-28,19.0
2015-12-29,22.0
2015-12-30,24.0
2015-12-31,23.0
2016-01-01,24.0
2016-01-02,32.0
2016-01-03,37.0
2016-01-04,31.0
2016-01-05,29.0
2016-01-06,23.0
2016-01-07,22.0
2016-01-08,22.0
2016-01-09,28.0
2016-01-10,27.0
2016-01-11,28.0
2016-01-12,35.0
2016-01-13,30.0
2016-01-14,31.0
2016-01-15,31.0
2016-01-16,35.0
2016-01-17,37.0
2016-01-18,32.0
2016-01-19,32.0
2016-01-20,34.0
2016-01-21,39.0
2016-01-22,35.0
2016-01-23,29.0
