DATE TIME,VLC
2015-09-15,41.0
2015-09-16,37.0
2015-09-17,41.0
2015-09-18,46.0
2015-09-19,48.0
2015-09-20,49.0
2015-09-21,50.0
2015-09-22,46.0
2015-09-23,44.0
2015-09-24,50.0
2015-09-25,52.0
2015-09-26,52.0
2015-09-27,49.0
2015-09-28,49.0
2015-09-29,50.0
2015-09-30,49.0
2015-10-01,38.0
2015-10-02,38.0
2015-10-03,40.0
2015-10-04,34.0
2015-10-05,37.0
2015-10-06,41.0
2015-10-07,48.0
2015-10-08,52.0
2015-10-09,51.0
2015-10-10,47.0
2015-10-11,47.0
2015-10-12,48.0
2015-10-13,48.0
2015-10-14,46.0
2015-10-15,42.0
2015-10-16,42.0
2015-10-17,38.0
2015-10-18,34.0
2015-10-19,34.0
2015-10-20,34.0
2015-10-21,37.0
2015-10-22,37.0
2015-10-23,38.0
2015-10-24,39.0
2015-10-25,36.0
2015-10-26,38.0
2015-10-27,39.0
2015-10-28,33.0
2015-10-29,32.0
2015-10-30,42.0
2015-10-31,41.0
2015-11-01,39.0
2015-11-02,28.0
2015-11-03,20.0
2015-11-04,13.0
2015-11-05,22.0
2015-11-06,33.0
2015-11-07,31.0
2015-11-08,29.0
2015-11-09,20.0
2015-11-10,16.0
2015-11-11,24.0
2015-11-12,29.0
2015-11-13,32.0
2015-11-14,31.0
2015-11-15,19.0
2015-11-16,20.0
2015-11-17,36.0
2015-11-18,37.0
2015-11-19,36.0
2015-11-20,36.0
2015-11-21,33.0
2015-11-22,33.0
2015-11-23,30.0
2015-11-24,25.0
2015-11-25,9.0
2015-11-26,12.0
2015-11-27,10.0
2015-11-28,8.0
2015-11-29,13.0
2015-11-30,22.0
2015-12-01,24.0
2015-12-02,32.0
2015-12-03,31.0
2015-12-04,20.0
2015-12-05,30.0
2015-12-06,31.0
2015-12-07,34.0
2015-12-08,38.0
2015-12-09,35.0
2015-12-10,26.0
2015-12-11,13.0
2015-12-12,18.0
2015-12-13,18.0
2015-12-14,8.0
2015-12-15,15.0
2015-12-16,21.0
2015-12-17,25.0
2015-12-18,28.0
2015-12-19,20.0
2015-12-20,17.0
2015-12-21,26.0
2015-12-22,23.0
2015-12-23,
2015-12-24,
2015-12-25,
2015-12-26,21.0
2015-12-27,23.0
2015-12-28,13.0
2015-12-29,12.0
2015-12-30,12.0
2015-12-31,13.0
2016-01-01,17.0
2016-01-02,24.0
2016-01-03,27.0
2016-01-04,21.0
2016-01-05,21.0
2016-01-06,15.0
2016-01-07,12.0
2016-01-08,9.0
2016-01-09,19.0
2016-01-10,16.0
2016-01-11,18.0
2016-01-12,27.0
2016-01-13,23.0
2016-01-14,21.0
2016-01-15,23.0
2016-01-16,24.0
2016-01-17,24.0
2016-01-18,24.0
2016-01-19,22.0
2016-01-20,21.0
2016-01-21,29.0
2016-01-22,28.0
2016-01-23,20.0
2016-01-24,17.0
2016-01-25,26.0
2016-01-26,34.0
2016-01-27,31.0
2016-01-28,33.0
2016-01-29,33.0
2016-01-30,24.0
2016-01-31,17.0
2016-02-01,6.0
2016-02-02,9.0
2016-02-03,20.0
2016-02-04,21.0
2016-02-05,24.0
2016-02-06,30.0
2016-02-07,36.0
2016-02-08,40.0
2016-02-09,37.0
2016-02-10,36.0
2016-02-11,37.0
2016-02-12,35.0
2016-02-13,33.0
2016-02-14,
2016-02-15,
2016-02-16,
2016-02-17,
2016-02-18,
2016-02-19,
2016-02-20,
2016-02-21,
2016-02-22,
2016-02-23,
2016-02-24,
2016-02-25,
2016-02-26,
2016-02-27,
2016-02-28,
2016-02-29,
2016-03-01,
2016-03-02,
2016-03-03,
2016-03-04,
2016-03-05,
2016-03-06,
2016-03-07,
2016-03-08,
2016-03-09,
2016-03-10,
2016-03-11,
2016-03-12,
2016-03-13,
2016-03-14,
2016-03-15,
2016-03-16,
2016-03-17,
2016-03-18,
2016-03-19,
2016-03-20,
2016-03-21,
2016-03-22,
2016-03-23,
2016-03-24,
2016-03-25,
2016-03-26,
2016-03-27,
2016-03-28,
2016-03-29,
2016-03-30,
2016-03-31,
2016-04-01,
2016-04-02,
2016-04-03,
2016-04-04,
2016-04-05,
2016-04-06,
2016-04-07,
2016-04-08,
2016-04-09,
2016-04-10,
2016-04-11,
2016-04-12,
2016-04-13,
2016-04-14,
2016-04-15,
2016-04-16,
2016-04-17,
2016-04-18,
2016-04-19,
2016-04-20,
2016-04-21,
2016-04-22,
2016-04-23,
2016-04-24,
2016-04-25,
2016-04-26,
2016-04-27,
2016-04-28,
2016-04-29,
2016-04-30,
2016-05-01,
2016-05-02,
2016-05-03,
2016-05-04,
2016-05-05,
2016-05-06,
