Level (AF),incremental In (AF) ,WY 2008,kondolf,Canal Diversions (AF),,,12892.555
"310,464.41","4,570", 206 ,694.2145,2536.85813,,,
"311,596.84","4,861", 206 ,694.2145,2576.52753,,,
"312,981.18","6,690", 208 ,694.2145,2749.08942,,,
"316,019.72","6,099", 208 ,694.2145,3141.81648,,,
"318,074.47","5,574", 208 ,694.2145,3832.06404,,,
"318,913.35","6,056", 208 ,694.2145,4270.41091,,,
"319,795.86","5,224", 206 ,694.2145,4423.1381,,,
"319,696.56","4,713", 208 ,694.2145,4784.12964,,,
"318,722.55","5,540", 208 ,694.2145,4907.10478,,,
"318,452.67","6,115", 208 ,694.2145,4861.48497,,,
"318,803.61","3,864", 208 ,694.2145,4341.81583,,,
"317,422.99","6,821", 208 ,694.2145,3572.22947,,,
"319,769.30","6,052", 208 ,694.2145,3167.60159,,,
"321,750.66","5,946", 210 ,694.2145,2903.80008,,,
"323,888.71","5,627", 210 ,694.2145,2897.84967,,,
"325,713.37","5,940", 210 ,694.2145,2993.05623,,,
"327,756.22","5,689", 210 ,694.2145,3002.97358,,,
"329,537.24","5,137", 210 ,694.2145,3012.89093,,,
"330,756.95","5,629", 210 ,694.2145,3020.82481,,,
"332,460.62","5,756", 210 ,694.2145,2939.50254,,,
"334,372.55","4,096", 210 ,694.2145,3042.64298,,,
"334,521.18","4,578", 210 ,694.2145,3225.12222,,,
"334,969.32","4,425", 210 ,694.2145,3443.30392,,,
"335,046.54","5,278", 210 ,694.2145,3627.76663,,,
"335,792.20","5,780", 210 ,694.2145,3617.84928,,,
"337,049.58","3,604", 210 ,694.2145,3576.19641,,,
"336,172.76","4,971", 210 ,694.2145,3818.17975,,,
"336,420.56","6,010", 210 ,694.2145,4030.41104,,,
"337,495.47","2,414", 208 ,694.2145,4058.17962,,,
"334,948.57","3,433", 208 ,694.2145,4183.13823,,,
"333,296.21","3,652", 210 ,694.2145,4212.89028,,,
"331,830.30","3,308", 210 ,694.2145,4234.70845,,,
"329,999.42","2,658", 210 ,694.2145,4155.36965,,,
"327,597.31","3,779", 210 ,694.2145,4264.4605,,,
"326,206.77","3,461", 212 ,694.2145,4546.11324,,,
"324,215.23","4,155", 212 ,694.2145,4770.24535,,,
"322,693.78","4,338", 212 ,694.2145,5030.07992,,,
"321,094.97","3,535", 212 ,694.2145,4982.47664,,,
"318,740.46","1,970", 212 ,694.2145,4671.07185,,,
"315,132.40","3,679", 214 ,694.2145,4387.43564,,,
"313,515.73","3,802", 214 ,694.2145,4266.44397,,,
"312,143.04","1,244", 214 ,694.2145,3911.40284,,,
"308,566.71","8,713", 214 ,694.2145,3276.69244,,,
"313,094.84","8,713", 210 ,694.2145,0,,,
"320,903.63","5,316", 208 ,991.735,3463.13862,,,
"321,556.06","3,497", 208 ,991.735,3675.36991,,,
"320,177.42","4,491", 208 ,991.735,3248.92386,,,
"320,218.95","3,929", 208 ,991.735,2967.27112,,,
"319,980.80","6,536", 208 ,991.735,2602.31264,,,
"322,713.89","6,321", 208 ,991.735,2380.164,,,
"325,454.92","6,877", 208 ,991.735,2374.21359,,,
"328,757.27","5,135", 208 ,991.735,2788.75882,,,
"329,903.59","5,220", 208 ,991.735,2983.13888,,,
"330,940.81","6,740", 208 ,991.735,2864.13068,,,
"333,616.38","7,783", 210 ,991.735,2778.84147,,,
"337,418.56","7,117", 210 ,991.735,2778.84147,,,
"340,554.30","4,824", 210 ,991.735,2661.81674,,,
"341,514.17","6,756", 210 ,991.735,2167.93271,,,
"344,899.82","6,422", 210 ,991.735,1983.47,,,
"348,136.71","6,369", 210 ,2975.205,1999.33776,,,
"349,320.72","6,480", 210 ,2975.205,1818.84199,,,
"350,796.29","7,533", 290 ,2975.205,1681.98256,,,
"353,382.55","7,287", 369 ,2975.205,1681.98256,,,
"355,643.48","7,886", 480 ,2975.205,1733.55278,,,
"358,340.70","4,207", 568 ,2975.205,1826.77587,,,
"357,178.04","7,357", 568 ,2975.205,2465.45321,,,
"358,526.44","6,502", 568 ,2975.205,3024.79175,,,
"358,460.64","5,939", 568 ,2975.205,3486.94026,,,
"357,369.38","7,158", 568 ,2975.205,3873.71691,,,
"357,111.17","8,769", 568 ,2975.205,4230.74151,,,
"358,106.52","7,089", 568 ,2975.205,4030.41104,,,
"357,622.21","10,189", 568 ,2975.205,3675.36991,,,
"360,593.09","14,352", 568 ,2975.205,3512.72537,,,
"367,889.93","10,675", 568 ,2975.205,3302.47755,,,
"371,719.66","9,796", 568 ,2975.205,3235.03957,,,
"374,738.14","11,429", 568 ,4958.675,2989.08929,,,
"377,651.51","11,724", 568 ,4958.675,2891.89926,,,
"380,957.60","21,285", 568 ,4958.675,4131.56801,,,
"392,584.35","33,709", 568 ,4958.675,5135.20383,,,
"415,631.92","29,147", 568 ,4958.675,4284.2952,,,
"434,968.42","17,220", 568 ,4958.675,4115.70025,,,
"442,546.91","14,106", 568 ,4958.675,3925.28713,,,
"447,201.76","12,750", 568 ,4958.675,4312.06378,,,
"450,113.14","12,936", 568 ,4958.675,4756.36106,,,
"452,766.67","12,583", 568 ,4958.675,5043.96421,,,
"454,779.54","11,310", 566 ,4958.675,5827.43486,,,
"454,737.54","11,536", 564 ,4958.675,6279.66602,,,
"454,471.40","11,673", 564 ,4958.675,6430.40974,,,
"454,191.39","12,232", 566 ,4958.675,6222.14539,,,
"454,676.99","11,447", 570 ,4958.675,6045.61656,,,
"454,549.69","11,328", 562 ,7933.88,6164.62476,,,
"451,217.11","13,960", 548 ,7933.88,6249.91397,,,
"450,445.20","12,869", 548 ,7933.88,6384.78993,,,
"448,447.51","11,161", 546 ,7933.88,6454.21138,,,
"444,674.61","11,831", 546 ,7933.88,6446.2775,,,
"441,580.06","12,454", 544 ,7933.88,6446.2775,,,
"439,110.30","12,411", 544 ,7933.88,6497.84772,,,
"436,545.34","12,403", 544 ,7933.88,6769.58311,,,
"433,700.71","12,079", 544 ,7933.88,6842.9715,,,
"430,459.38","11,933", 544 ,7933.88,6652.55838,,,
"427,261.69","11,181", 544 ,7933.88,6610.90551,,,
"423,353.92","11,492", 544 ,7933.88,6704.1286,,,
"419,664.32","11,324", 544 ,7933.88,6329.25277,,,
"416,181.01","12,454", 540 ,7933.88,5057.8485,,,
"415,103.66","23,218", 540 ,4958.675,4571.89835,,,
"428,251.74","24,307", 540 ,4958.675,5022.14604,,,
"442,038.51","25,182", 544 ,4958.675,5752.063,,,
"455,966.10","23,905", 544 ,4958.675,6357.02135,,,
"468,011.37","21,838", 544 ,4958.675,6622.80633,,,
"477,724.09","20,384", 546 ,4958.675,6349.08747,,,
"486,254.66","20,186", 566 ,4958.675,5958.34388,,,
"494,957.77","21,334", 597 ,4958.675,6113.05454,,,
"504,622.85","23,042", 599 ,4958.675,6660.49226,,,
"515,446.28","24,803", 601 ,4958.675,7199.9961,,,
"527,489.53","23,712", 603 ,4958.675,7519.33477,,,
"538,120.56","25,839", 605 ,4958.675,7676.0289,,,
"550,719.18","24,849", 599 ,4958.675,7251.56632,,,
"562,758.48","24,801", 599 ,4958.675,6747.76494,,,
"575,253.97","27,134", 601 ,4958.675,6626.77327,,,
"590,201.02","28,824", 603 ,4958.675,6694.21125,,,
"606,768.57","27,197", 599 ,4958.675,6837.02109,,,
"621,570.84","26,594", 599 ,4958.675,7053.21932,,,
"635,553.93","29,064", 603 ,4958.675,7009.58298,,,
"652,046.11","29,589", 593 ,4958.675,6525.6163,,,
"669,557.80","31,944", 591 ,4958.675,6017.84798,,,
"689,933.62","26,319", 597 ,4958.675,6303.46766,,,
"704,392.75","31,747", 597 ,4958.675,6491.89731,,,
"724,092.20","21,116", 601 ,4958.675,4847.60068,,,
"734,800.58","18,597", 601 ,4958.675,4675.03879,,,
"743,162.52","19,938", 601 ,4958.675,5196.6914,,,
"752,343.63","24,294", 601 ,4958.675,4595.69999,,,
"766,481.43","24,359", 601 ,4958.675,3824.13016,,,
"781,456.26","20,461", 603 ,4958.675,3841.98139,,,
"792,513.73","18,458", 603 ,4958.675,4563.96447,,,
"800,845.91","17,482", 605 ,4958.675,5446.60862,,,
"807,317.60","19,023", 607 ,4958.675,5978.17858,,,
"814,796.89","20,140", 607 ,4958.675,6257.84785,,,
"823,113.20","23,984", 607 ,4958.675,6321.31889,,,
"835,210.01","26,071", 607 ,4958.675,6531.56671,,,
"849,183.18","28,451", 605 ,4958.675,7154.37629,,,
